method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
max_pca 1 0.9 0 500 574.594 800.938 22 101.025
max_pca 2 0.9 0 500 65.112 170.272 14 42
max_pca 3 0.9 0 500 47.02 90.753 14 36
max_pca 5 0.9 0 500 43.25 22.535 14.475 37.025
min_pca 1 0.9 0 500 4.268 1.685 2 4
min_pca 2 0.9 0 500 4.394 1.371 3 4
min_pca 3 0.9 0 500 4.382 1.189 3 4
min_pca 5 0.9 0 500 4.132 0.94 3 4
tpca 0.8 0.9 0 500 4.268 1.685 2 4
tpca 0.9 0.9 0 500 4.394 1.371 3 4
tpca 0.95 0.9 0 500 4.382 1.189 3 4
tpca 0.99 0.9 0 500 4.202 1.052 3 4
max_pca 1 0.9 0.5 500 1707.698 586.56 106.375 2000
max_pca 2 0.9 0.5 500 1405.422 807.524 53.475 2000
max_pca 3 0.9 0.5 500 1400.61 800.641 53.475 2000
max_pca 5 0.9 0.5 500 1519.496 719.931 66.475 2000
min_pca 1 0.9 0.5 500 6.282 2.983 3 5
min_pca 2 0.9 0.5 500 6.68 2.791 3 6
min_pca 3 0.9 0.5 500 6.808 2.198 4 6
min_pca 5 0.9 0.5 500 6.37 1.766 4 6
tpca 0.8 0.9 0.5 500 6.282 2.983 3 5
tpca 0.9 0.9 0.5 500 6.68 2.791 3 6
tpca 0.95 0.9 0.5 500 6.808 2.198 4 6
tpca 0.99 0.9 0.5 500 6.422 1.905 4 6
max_pca 1 0.9 0.75 500 1753.446 514.816 207.075 2000
max_pca 2 0.9 0.75 500 1745.112 559.174 91.025 2000
max_pca 3 0.9 0.75 500 1661.078 621.389 73.95 2000
max_pca 5 0.9 0.75 500 1672.104 585.635 128.4 2000
min_pca 1 0.9 0.75 500 10.584 5.492 4 9
min_pca 2 0.9 0.75 500 12.642 5.311 5 12
min_pca 3 0.9 0.75 500 12.736 4.569 6 12
min_pca 5 0.9 0.75 500 11.568 3.318 6 11
tpca 0.8 0.9 0.75 500 10.584 5.492 4 9
tpca 0.9 0.9 0.75 500 12.642 5.311 5 12
tpca 0.95 0.9 0.75 500 12.736 4.569 6 12
tpca 0.99 0.9 0.75 500 11.574 3.546 6 11
max_pca 1 0.7 0 500 1487.782 782.686 37.475 2000
max_pca 2 0.7 0 500 903.13 896.467 26.475 186.075
max_pca 3 0.7 0 500 799.05 876.521 26 165
max_pca 5 0.7 0 500 987.778 889.358 32.475 375.475
min_pca 1 0.7 0 500 5.938 3.403 3 5
min_pca 2 0.7 0 500 6.194 2.624 3 5
min_pca 3 0.7 0 500 5.952 1.897 3 5
min_pca 5 0.7 0 500 5.612 1.441 3 5
tpca 0.8 0.7 0 500 5.938 3.403 3 5
tpca 0.9 0.7 0 500 6.194 2.624 3 5
tpca 0.95 0.7 0 500 5.952 1.897 3 5
tpca 0.99 0.7 0 500 5.686 1.6 3 5
max_pca 1 0.7 0.5 500 1749.752 535.154 171.475 2000
max_pca 2 0.7 0.5 500 1700.16 606.314 78.425 2000
max_pca 3 0.7 0.5 500 1613.806 657.407 84.425 2000
max_pca 5 0.7 0.5 500 1658.112 603.098 101.475 2000
min_pca 1 0.7 0.5 500 10.284 7.927 3 8
min_pca 2 0.7 0.5 500 15.14 89.143 4 10
min_pca 3 0.7 0.5 500 10.8 3.977 5 10
min_pca 5 0.7 0.5 500 9.784 3.098 5 9
tpca 0.8 0.7 0.5 500 10.284 7.927 3 8
tpca 0.9 0.7 0.5 500 15.14 89.143 4 10
tpca 0.95 0.7 0.5 500 10.8 3.977 5 10
tpca 0.99 0.7 0.5 500 9.876 3.437 5 9
max_pca 1 0.7 0.75 500 1772.09 518.863 209.95 2000
max_pca 2 0.7 0.75 500 1744.382 547.241 155.425 2000
max_pca 3 0.7 0.75 500 1669.724 616.362 108.475 2000
max_pca 5 0.7 0.75 500 1666.25 602.884 149.225 2000
min_pca 1 0.7 0.75 500 91.006 369.859 5 13
min_pca 2 0.7 0.75 500 75.04 303.012 7 21
min_pca 3 0.7 0.75 500 33.506 125.65 10 21
min_pca 5 0.7 0.75 500 20.498 7.635 9.475 19
tpca 0.8 0.7 0.75 500 91.006 369.859 5 13
tpca 0.9 0.7 0.75 500 75.04 303.012 7 21
tpca 0.95 0.7 0.75 500 33.506 125.65 10 21
tpca 0.99 0.7 0.75 500 21.092 9.314 9 19
max_pca 1 0.5 0 500 1724.706 574.34 75.85 2000
max_pca 2 0.5 0 500 1662.052 646.779 65.475 2000
max_pca 3 0.5 0 500 1543.282 709.547 52 2000
max_pca 5 0.5 0 500 1627.196 630.714 67.95 2000
min_pca 1 0.5 0 500 23.032 154.245 3 8
min_pca 2 0.5 0 500 12.062 11.762 4 9
min_pca 3 0.5 0 500 10.84 5.264 4 9
min_pca 5 0.5 0 500 9.61 3.651 5 9
tpca 0.8 0.5 0 500 23.032 154.245 3 8
tpca 0.9 0.5 0 500 12.062 11.762 4 9
tpca 0.95 0.5 0 500 10.84 5.264 4 9
tpca 0.99 0.5 0 500 9.822 3.934 4 9
max_pca 1 0.5 0.5 500 1792.016 476.534 271.6 2000
max_pca 2 0.5 0.5 500 1724.328 557.242 135.325 2000
max_pca 3 0.5 0.5 500 1618.416 627.324 140.975 2000
max_pca 5 0.5 0.5 500 1685.604 563.08 191.975 2000
min_pca 1 0.5 0.5 500 161.652 505.506 4 15
min_pca 2 0.5 0.5 500 170.05 503.356 6 23
min_pca 3 0.5 0.5 500 65.808 263.221 8 22
min_pca 5 0.5 0.5 500 23.328 14.193 8.475 19
tpca 0.8 0.5 0.5 500 161.652 505.506 4 15
tpca 0.9 0.5 0.5 500 170.05 503.356 6 23
tpca 0.95 0.5 0.5 500 65.808 263.221 8 22
tpca 0.99 0.5 0.5 500 28.338 90.181 8 19
max_pca 1 0.5 0.75 500 1794.552 493.184 199.95 2000
max_pca 2 0.5 0.75 500 1731.824 544.189 193 2000
max_pca 3 0.5 0.75 500 1692.014 563.678 148.6 2000
max_pca 5 0.5 0.75 500 1693.986 565.4 192.425 2000
min_pca 1 0.5 0.75 500 566.95 868.621 7 40.025
min_pca 2 0.5 0.75 500 950.428 966.334 15 118
min_pca 3 0.5 0.75 500 781.088 927.889 18 109
min_pca 5 0.5 0.75 500 251.276 577.945 18 54.025
tpca 0.8 0.5 0.75 500 566.95 868.621 7 40.025
tpca 0.9 0.5 0.75 500 950.428 966.334 15 118
tpca 0.95 0.5 0.75 500 781.088 927.889 18 109
tpca 0.99 0.5 0.75 500 320.194 656.749 18 58.025
max_pca 1 0.3 0 500 1784.534 498.924 254.225 2000
max_pca 2 0.3 0 500 1742.968 541.972 114.85 2000
max_pca 3 0.3 0 500 1649.71 618.419 101.125 2000
max_pca 5 0.3 0 500 1628.524 626.451 118.95 2000
