method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
mix 0.03 0.98 0 500 1979.512 155.374 1951.7 2000
mix 0.1 0.98 0 500 1979.28 158.931 2000 2000
mix 0.3 0.98 0 500 1976.54 167.893 2000 2000
mix 1 0.98 0 500 1965.328 215.007 1482.075 2000
max_pca 1 0.98 0 500 44.952 12.727 24 43
max_pca 2 0.98 0 500 28.18 6.917 15 28
max_pca 3 0.98 0 500 21.792 4.821 13 21
max_pca 5 0.98 0 500 17.196 3.421 11 17
max_pca 10 0.98 0 500 12.766 2.273 9 13
max_pca 20 0.98 0 500 15.662 2.236 11 15
min_pca 1 0.98 0 500 2.002 0.045 2 2
min_pca 2 0.98 0 500 2 0 2 2
min_pca 3 0.98 0 500 2 0 2 2
min_pca 5 0.98 0 500 2 0 2 2
min_pca 10 0.98 0 500 2 0 2 2
min_pca 20 0.98 0 500 2 0 2 2
tpca 0.8 0.98 0 500 2.002 0.045 2 2
tpca 0.9 0.98 0 500 2.002 0.045 2 2
tpca 0.95 0.98 0 500 2.002 0.045 2 2
tpca 0.99 0.98 0 500 2.002 0.045 2 2
tpca 0.995 0.98 0 500 2.002 0.045 2 2
tpca 0.999 0.98 0 500 2.002 0.045 2 2
mix 0.03 0.98 0.25 500 1970.096 203.994 1992.125 2000
mix 0.1 0.98 0.25 500 1965.038 214.558 1417.875 2000
mix 0.3 0.98 0.25 500 1959.396 231.897 1192.775 2000
mix 1 0.98 0.25 500 1957.314 236.692 1060.575 2000
max_pca 1 0.98 0.25 500 76.692 26.149 38 72
max_pca 2 0.98 0.25 500 47.326 12.924 25 46
max_pca 3 0.98 0.25 500 37.614 9.281 20 36
max_pca 5 0.98 0.25 500 29.446 6.834 16.475 29
max_pca 10 0.98 0.25 500 21.186 4.299 14 21
max_pca 20 0.98 0.25 500 27.1 4.344 19 27
min_pca 1 0.98 0.25 500 2 0 2 2
min_pca 2 0.98 0.25 500 2 0 2 2
min_pca 3 0.98 0.25 500 2 0 2 2
min_pca 5 0.98 0.25 500 2 0 2 2
min_pca 10 0.98 0.25 500 2 0 2 2
min_pca 20 0.98 0.25 500 2 0 2 2
tpca 0.8 0.98 0.25 500 2 0 2 2
tpca 0.9 0.98 0.25 500 2 0 2 2
tpca 0.95 0.98 0.25 500 2 0 2 2
tpca 0.99 0.98 0.25 500 2 0 2 2
tpca 0.995 0.98 0.25 500 2 0 2 2
tpca 0.999 0.98 0.25 500 2 0 2 2
mix 0.03 0.98 0.5 500 1941.886 279.142 889.925 2000
