method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
max_pca 1 0.3 0.5 500 616.398 677.559 88 247
max_pca 2 0.3 0.5 500 172.714 143.465 73.475 146
max_pca 3 0.3 0.5 500 128.726 50.301 64.475 122
max_pca 5 0.3 0.5 500 106.5 28.174 59 103
max_pca 10 0.3 0.5 500 87.464 17.009 54.475 86
max_pca 20 0.3 0.5 500 70.91 12.02 48 70
max_pca 40 0.3 0.5 500 60.482 8.694 45 60
min_pca 1 0.3 0.5 500 11.68 126.708 2 2
min_pca 2 0.3 0.5 500 2.146 1.512 2 2
min_pca 3 0.3 0.5 500 2.004 0.063 2 2
min_pca 5 0.3 0.5 500 2.002 0.045 2 2
min_pca 10 0.3 0.5 500 2.002 0.045 2 2
min_pca 20 0.3 0.5 500 2.008 0.089 2 2
min_pca 40 0.3 0.5 500 2.18 0.395 2 2
tpca 0.8 0.3 0.5 500 4.228 0.989 3 4
tpca 0.9 0.3 0.5 500 2.596 0.577 2 3
tpca 0.95 0.3 0.5 500 2.276 0.482 2 2
tpca 0.99 0.3 0.5 500 2.276 0.482 2 2
tpca 0.995 0.3 0.5 500 2.276 0.482 2 2
tpca 0.999 0.3 0.5 500 2.276 0.482 2 2
mix 0.03 0.3 0.5 500 7.97 1.66 5 8
mix 0.1 0.3 0.5 500 7.214 1.54 5 7
mix 0.3 0.3 0.5 500 6.878 1.599 4 7
mix 1 0.3 0.5 500 6.704 1.627 4 7
max_pca 1 0.3 0.7 500 569.842 644.668 74.475 240.025
max_pca 2 0.3 0.7 500 186.008 209.317 67.475 141
max_pca 3 0.3 0.7 500 115.252 41.426 56 107
max_pca 5 0.3 0.7 500 96.842 27.541 55 92
max_pca 10 0.3 0.7 500 78.028 17.192 49 75
max_pca 20 0.3 0.7 500 60.66 10.359 43 59
max_pca 40 0.3 0.7 500 49.496 7.535 36 49
min_pca 1 0.3 0.7 500 6.842 89.584 2 2
min_pca 2 0.3 0.7 500 2.12 2.333 2 2
min_pca 3 0.3 0.7 500 2 0 2 2
min_pca 5 0.3 0.7 500 2 0 2 2
min_pca 10 0.3 0.7 500 2 0 2 2
min_pca 20 0.3 0.7 500 2 0 2 2
min_pca 40 0.3 0.7 500 2.008 0.089 2 2
tpca 0.8 0.3 0.7 500 3.084 0.531 2 3
tpca 0.9 0.3 0.7 500 2.124 0.336 2 2
tpca 0.95 0.3 0.7 500 2.03 0.171 2 2
tpca 0.99 0.3 0.7 500 2.03 0.171 2 2
tpca 0.995 0.3 0.7 500 2.03 0.171 2 2
tpca 0.999 0.3 0.7 500 2.03 0.171 2 2
mix 0.03 0.3 0.7 500 4.996 0.818 3 5
mix 0.1 0.3 0.7 500 4.528 0.781 3 4
mix 0.3 0.3 0.7 500 4.352 0.791 3 4
mix 1 0.3 0.7 500 4.214 0.811 3 4
max_pca 1 0.3 1 500 498.438 628.37 66.9 195.025
max_pca 2 0.3 1 500 149.476 143.995 55.475 126
max_pca 3 0.3 1 500 96.36 37.237 44 88
max_pca 5 0.3 1 500 78.956 24.022 42 75
max_pca 10 0.3 1 500 64.236 15.815 37 63
max_pca 20 0.3 1 500 48.694 10.166 31 47
max_pca 40 0.3 1 500 36.568 6.685 25 35
min_pca 1 0.3 1 500 2.564 7.223 2 2
min_pca 2 0.3 1 500 2.014 0.205 2 2
min_pca 3 0.3 1 500 2.008 0.126 2 2
min_pca 5 0.3 1 500 2 0 2 2
min_pca 10 0.3 1 500 2 0 2 2
min_pca 20 0.3 1 500 2 0 2 2
min_pca 40 0.3 1 500 2 0 2 2
tpca 0.8 0.3 1 500 2.2 0.4 2 2
tpca 0.9 0.3 1 500 2 0 2 2
tpca 0.95 0.3 1 500 2 0 2 2
tpca 0.99 0.3 1 500 2 0 2 2
tpca 0.995 0.3 1 500 2 0 2 2
tpca 0.999 0.3 1 500 2 0 2 2
mix 0.03 0.3 1 500 3.284 0.473 3 3
mix 0.1 0.3 1 500 3.048 0.377 2 3
mix 0.3 0.3 1 500 2.954 0.405 2 3
mix 1 0.3 1 500 2.85 0.443 2 3
max_pca 1 0.1 0.5 500 698.032 733.069 76.95 283.075
max_pca 2 0.1 0.5 500 192.196 146.555 70.475 157
max_pca 3 0.1 0.5 500 144.574 58.598 66.95 133
max_pca 5 0.1 0.5 500 114.568 31.564 63 110
max_pca 10 0.1 0.5 500 94.164 19.101 61 92.025
max_pca 20 0.1 0.5 500 79.408 12.427 57 78
max_pca 40 0.1 0.5 500 70.83 10.077 52 70
min_pca 1 0.1 0.5 500 8.902 90.647 2 2
min_pca 2 0.1 0.5 500 2.246 1.542 2 2
min_pca 3 0.1 0.5 500 2.048 0.3 2 2
min_pca 5 0.1 0.5 500 2.048 0.264 2 2
min_pca 10 0.1 0.5 500 2.118 0.329 2 2
min_pca 20 0.1 0.5 500 2.582 0.639 2 2
min_pca 40 0.1 0.5 500 3.328 1.019 2 3
tpca 0.8 0.1 0.5 500 8.962 2.49 5 8
tpca 0.9 0.1 0.5 500 4.518 1.668 2.475 4
tpca 0.95 0.1 0.5 500 3.454 1.171 2 3
tpca 0.99 0.1 0.5 500 3.454 1.171 2 3
tpca 0.995 0.1 0.5 500 3.454 1.171 2 3
tpca 0.999 0.1 0.5 500 3.454 1.171 2 3
mix 0.03 0.1 0.5 500 16.336 3.826 8 16
mix 0.1 0.1 0.5 500 15.52 4.096 7 15
mix 0.3 0.1 0.5 500 15.97 4.57 7 16
mix 1 0.1 0.5 500 16.528 5.121 7 17
max_pca 1 0.1 0.7 500 601.132 676.106 79.425 239.025
max_pca 2 0.1 0.7 500 199.392 228.311 69 152.025
max_pca 3 0.1 0.7 500 140.288 51.473 66 130
max_pca 5 0.1 0.7 500 112.878 29.929 58 110.025
max_pca 10 0.1 0.7 500 89.78 18.517 57 89
max_pca 20 0.1 0.7 500 74.344 13.012 51.475 73
max_pca 40 0.1 0.7 500 64.484 9.836 47.475 64
min_pca 1 0.1 0.7 500 11.676 126.505 2 2
min_pca 2 0.1 0.7 500 2.11 0.701 2 2
min_pca 3 0.1 0.7 500 2.016 0.126 2 2
min_pca 5 0.1 0.7 500 2.012 0.109 2 2
min_pca 10 0.1 0.7 500 2.01 0.1 2 2
min_pca 20 0.1 0.7 500 2.112 0.328 2 2
min_pca 40 0.1 0.7 500 2.616 0.643 2 3
tpca 0.8 0.1 0.7 500 5.666 1.512 4 5
tpca 0.9 0.1 0.7 500 3.276 0.879 2 3
tpca 0.95 0.1 0.7 500 2.696 0.733 2 3
tpca 0.99 0.1 0.7 500 2.696 0.733 2 3
tpca 0.995 0.1 0.7 500 2.696 0.733 2 3
tpca 0.999 0.1 0.7 500 2.696 0.733 2 3
mix 0.03 0.1 0.7 500 9.116 1.853 5.475 9
mix 0.1 0.1 0.7 500 8.79 1.976 5 9
mix 0.3 0.1 0.7 500 8.978 2.182 5 9
mix 1 0.1 0.7 500 9.31 2.488 5 9
max_pca 1 0.1 1 500 576.734 668.281 80 237.025
max_pca 2 0.1 1 500 171.2 122.545 68.475 144
max_pca 3 0.1 1 500 127.664 46.959 66 119
max_pca 5 0.1 1 500 101.168 27.502 53.475 97.025
max_pca 10 0.1 1 500 82.766 17.378 52 81
max_pca 20 0.1 1 500 67.06 11.519 47 66
max_pca 40 0.1 1 500 55.996 8.913 40 55
min_pca 1 0.1 1 500 11.286 126.445 2 2
min_pca 2 0.1 1 500 2.104 1.014 2 2
min_pca 3 0.1 1 500 2.006 0.1 2 2
min_pca 5 0.1 1 500 2.004 0.063 2 2
min_pca 10 0.1 1 500 2.002 0.045 2 2
min_pca 20 0.1 1 500 2.004 0.063 2 2
min_pca 40 0.1 1 500 2.158 0.371 2 2
tpca 0.8 0.1 1 500 3.644 0.736 3 4
tpca 0.9 0.1 1 500 2.498 0.55 2 2
tpca 0.95 0.1 1 500 2.234 0.456 2 2
tpca 0.99 0.1 1 500 2.234 0.456 2 2
tpca 0.995 0.1 1 500 2.234 0.456 2 2
tpca 0.999 0.1 1 500 2.234 0.456 2 2
mix 0.03 0.1 1 500 5.34 0.88 4 5
mix 0.1 0.1 1 500 5.164 0.961 4 5
mix 0.3 0.1 1 500 5.242 1.034 4 5
mix 1 0.1 1 500 5.388 1.182 3 5
max_pca 1 0.05 0.5 500 708.046 719.421 90.475 310.025
max_pca 2 0.05 0.5 500 216.812 252.072 69 157
max_pca 3 0.05 0.5 500 154.26 104.068 69.475 137
max_pca 5 0.05 0.5 500 119.688 32.89 71.475 113
max_pca 10 0.05 0.5 500 97.878 19.729 64 96
max_pca 20 0.05 0.5 500 82.252 13.329 57.475 81
max_pca 40 0.05 0.5 500 73.72 10.965 54 73
min_pca 1 0.05 0.5 500 14.82 127.458 2 2
min_pca 2 0.05 0.5 500 7.174 89.721 2 2
min_pca 3 0.05 0.5 500 2.386 1.795 2 2
min_pca 5 0.05 0.5 500 2.34 0.877 2 2
min_pca 10 0.05 0.5 500 2.7 0.978 2 2
min_pca 20 0.05 0.5 500 3.662 1.38 2 3
min_pca 40 0.05 0.5 500 4.856 2.504 2 4
tpca 0.8 0.05 0.5 500 15.65 5.069 8 15
tpca 0.9 0.05 0.5 500 7.266 3.366 3 6
tpca 0.95 0.05 0.5 500 5.09 2.872 2 4
tpca 0.99 0.05 0.5 500 5.09 2.872 2 4
tpca 0.995 0.05 0.5 500 5.09 2.872 2 4
tpca 0.999 0.05 0.5 500 5.09 2.872 2 4
mix 0.03 0.05 0.5 500 25.764 6.614 13 25
mix 0.1 0.05 0.5 500 26.276 7.601 11 26
mix 0.3 0.05 0.5 500 28.38 8.892 12 28
mix 1 0.05 0.5 500 30.754 10.641 12 30
max_pca 1 0.05 0.7 500 657.498 697.642 79.475 290.025
max_pca 2 0.05 0.7 500 209.04 227.351 77 159
max_pca 3 0.05 0.7 500 150.43 87.135 71 135
max_pca 5 0.05 0.7 500 114.914 32.173 64.95 110
max_pca 10 0.05 0.7 500 94.516 19.792 60.475 91
max_pca 20 0.05 0.7 500 79.262 12.772 56.475 78
max_pca 40 0.05 0.7 500 70.218 10.25 49.475 69
min_pca 1 0.05 0.7 500 16.368 154.948 2 2
min_pca 2 0.05 0.7 500 2.226 1.092 2 2
min_pca 3 0.05 0.7 500 2.1 0.45 2 2
min_pca 5 0.05 0.7 500 2.094 0.397 2 2
min_pca 10 0.05 0.7 500 2.184 0.459 2 2
min_pca 20 0.05 0.7 500 2.686 0.735 2 3
min_pca 40 0.05 0.7 500 3.514 1.268 2 3
tpca 0.8 0.05 0.7 500 9.206 2.616 5 9
tpca 0.9 0.05 0.7 500 4.748 1.707 2 4
tpca 0.95 0.05 0.7 500 3.65 1.45 2 3
tpca 0.99 0.05 0.7 500 3.65 1.45 2 3
tpca 0.995 0.05 0.7 500 3.65 1.45 2 3
tpca 0.999 0.05 0.7 500 3.65 1.45 2 3
mix 0.03 0.05 0.7 500 13.776 3.144 8 13
mix 0.1 0.05 0.7 500 14.086 3.551 7 14
