method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
max_pca 1 0.98 0.5 500 410.5 632.507 63.95 156
max_pca 2 0.98 0.5 500 106.726 31.178 58 101
max_pca 3 0.98 0.5 500 94.958 21.691 56 92.025
max_pca 5 0.98 0.5 500 75.15 12.975 51 74
max_pca 10 0.98 0.5 500 55.584 8.213 39.475 55
max_pca 20 0.98 0.5 500 37.3 4.717 28 37
min_pca 1 0.98 0.5 500 28.392 25.725 10 21.025
min_pca 2 0.98 0.5 500 15.548 4.296 9 15
min_pca 3 0.98 0.5 500 23.678 5.45 15 23
min_pca 5 0.98 0.5 500 33.162 5.775 23 32.025
min_pca 10 0.98 0.5 500 41.988 5.24 32 42
min_pca 20 0.98 0.5 500 44.352 4.163 37 44
tpca 0.8 0.98 0.5 500 39.144 5.228 30 39
tpca 0.9 0.98 0.5 500 44.128 4.66 36 43.025
tpca 0.95 0.98 0.5 500 43.956 4.257 36 43
tpca 0.99 0.98 0.5 500 43.956 4.257 36 43
tpca 0.995 0.98 0.5 500 43.956 4.257 36 43
tpca 0.999 0.98 0.5 500 43.956 4.257 36 43
mix 0.03 0.98 0.5 500 8.236 1.651 5 8
mix 0.1 0.98 0.5 500 6.99 1.433 4 7
mix 0.3 0.98 0.5 500 6.312 1.222 4 6
mix 1 0.98 0.5 500 5.954 1.141 4 6
max_pca 1 0.98 0.7 500 101.48 97.762 39.475 87
max_pca 2 0.98 0.7 500 65.646 19.235 33.475 62
max_pca 3 0.98 0.7 500 65.588 15.774 38 63
max_pca 5 0.98 0.7 500 56.686 11.072 37.475 56
max_pca 10 0.98 0.7 500 40.968 6.422 30 40
max_pca 20 0.98 0.7 500 26.436 3.259 21 26
min_pca 1 0.98 0.7 500 14.282 11.756 5.475 12
min_pca 2 0.98 0.7 500 8.754 2.217 6 8
min_pca 3 0.98 0.7 500 13.488 2.889 9 13
min_pca 5 0.98 0.7 500 19.644 3.619 14 19
min_pca 10 0.98 0.7 500 25.912 3.265 20 26
min_pca 20 0.98 0.7 500 27.318 2.497 23 27
tpca 0.8 0.98 0.7 500 23.834 3.228 18 24
tpca 0.9 0.98 0.7 500 27.682 2.833 22.475 27
tpca 0.95 0.98 0.7 500 27.128 2.6 22 27
tpca 0.99 0.98 0.7 500 27.128 2.6 22 27
tpca 0.995 0.98 0.7 500 27.128 2.6 22 27
tpca 0.999 0.98 0.7 500 27.128 2.6 22 27
mix 0.03 0.98 0.7 500 5.068 0.84 4 5
mix 0.1 0.98 0.7 500 4.438 0.678 3 4
mix 0.3 0.98 0.7 500 4.04 0.669 3 4
mix 1 0.98 0.7 500 3.826 0.664 3 4
max_pca 1 0.98 1 500 49.804 21.342 21 45
max_pca 2 0.98 1 500 36.402 10.011 20 35
max_pca 3 0.98 1 500 39.712 9.264 25 39
max_pca 5 0.98 1 500 37.992 6.969 26 37
max_pca 10 0.98 1 500 26.338 3.878 20 26
max_pca 20 0.98 1 500 16.382 2.046 13 16
min_pca 1 0.98 1 500 24.476 177.711 4 7
min_pca 2 0.98 1 500 5.306 1.282 4 5
min_pca 3 0.98 1 500 8.084 1.914 6 8
min_pca 5 0.98 1 500 11.518 2.243 8 11
min_pca 10 0.98 1 500 15.498 2.204 12 15
min_pca 20 0.98 1 500 16.01 1.637 13 16
tpca 0.8 0.98 1 500 13.99 2.044 11 14
tpca 0.9 0.98 1 500 16.534 1.895 13.475 16
tpca 0.95 0.98 1 500 15.906 1.645 13 16
tpca 0.99 0.98 1 500 15.906 1.645 13 16
tpca 0.995 0.98 1 500 15.906 1.645 13 16
tpca 0.999 0.98 1 500 15.906 1.645 13 16
mix 0.03 0.98 1 500 3.322 0.485 3 3
mix 0.1 0.98 1 500 3.02 0.322 2 3
mix 0.3 0.98 1 500 2.854 0.386 2 3
mix 1 0.98 1 500 2.692 0.471 2 3
max_pca 1 0.98 1.3 500 31.918 12.323 15 29
max_pca 2 0.98 1.3 500 24.424 6.672 14 24
max_pca 3 0.98 1.3 500 27.492 6.492 16.475 26
max_pca 5 0.98 1.3 500 27.278 5.348 18 27
max_pca 10 0.98 1.3 500 18.384 2.624 14 18
max_pca 20 0.98 1.3 500 11.272 1.301 9 11
min_pca 1 0.98 1.3 500 13.704 126.149 3 5
min_pca 2 0.98 1.3 500 3.76 0.743 3 4
min_pca 3 0.98 1.3 500 5.47 1 4 5
min_pca 5 0.98 1.3 500 7.63 1.273 6 7
min_pca 10 0.98 1.3 500 10.328 1.242 8 10
min_pca 20 0.98 1.3 500 10.574 0.977 9 10
tpca 0.8 0.98 1.3 500 9.31 1.153 7 9
tpca 0.9 0.98 1.3 500 10.958 1.134 9 11
tpca 0.95 0.98 1.3 500 10.482 0.953 9 10
tpca 0.99 0.98 1.3 500 10.482 0.953 9 10
tpca 0.995 0.98 1.3 500 10.482 0.953 9 10
tpca 0.999 0.98 1.3 500 10.482 0.953 9 10
mix 0.03 0.98 1.3 500 2.812 0.391 2 3
mix 0.1 0.98 1.3 500 2.358 0.48 2 2
mix 0.3 0.98 1.3 500 2.106 0.308 2 2
mix 1 0.98 1.3 500 2.02 0.14 2 2
max_pca 1 0.95 0.5 500 579.632 776.731 59.475 161
max_pca 2 0.95 0.5 500 144.96 254.525 53 103.025
max_pca 3 0.95 0.5 500 102.036 89.043 56.475 95
max_pca 5 0.95 0.5 500 75.76 14.636 50 74
max_pca 10 0.95 0.5 500 56.828 8.683 40 56
max_pca 20 0.95 0.5 500 38.372 5.44 28.475 38
min_pca 1 0.95 0.5 500 113.148 386.967 10 22
min_pca 2 0.95 0.5 500 17.362 6.592 9.475 16
min_pca 3 0.95 0.5 500 25.664 7.987 16 23
min_pca 5 0.95 0.5 500 35.42 8.076 24 33
min_pca 10 0.95 0.5 500 43.968 6.488 33 42
min_pca 20 0.95 0.5 500 46.1 4.982 38 45
tpca 0.8 0.95 0.5 500 40.952 6.643 30.475 40
tpca 0.9 0.95 0.5 500 45.878 5.442 37 45
tpca 0.95 0.95 0.5 500 45.738 5.015 37 45
tpca 0.99 0.95 0.5 500 45.738 5.015 37 45
tpca 0.995 0.95 0.5 500 45.738 5.015 37 45
tpca 0.999 0.95 0.5 500 45.738 5.015 37 45
mix 0.03 0.95 0.5 500 8.4 1.669 6 8
mix 0.1 0.95 0.5 500 7.128 1.464 5 7
mix 0.3 0.95 0.5 500 6.492 1.307 4 6
mix 1 0.95 0.5 500 6.108 1.229 4 6
max_pca 1 0.95 0.7 500 131.244 245.229 35.475 88
max_pca 2 0.95 0.7 500 68.518 21.728 34 65
max_pca 3 0.95 0.7 500 67.032 17.839 38.475 64
max_pca 5 0.95 0.7 500 57.858 11.503 38 57
max_pca 10 0.95 0.7 500 41.906 6.569 30.475 41
max_pca 20 0.95 0.7 500 26.91 3.583 20 27
min_pca 1 0.95 0.7 500 54.894 264.36 6 12
min_pca 2 0.95 0.7 500 9.59 3.071 6 9
min_pca 3 0.95 0.7 500 14.856 4.259 9 14
min_pca 5 0.95 0.7 500 21.274 4.845 14 20
min_pca 10 0.95 0.7 500 27.438 4.471 19.475 27
min_pca 20 0.95 0.7 500 28.61 3.241 23 28
tpca 0.8 0.95 0.7 500 25.19 4.145 18 25
tpca 0.9 0.95 0.7 500 29.024 3.62 22 28
tpca 0.95 0.95 0.7 500 28.388 3.19 23 28
tpca 0.99 0.95 0.7 500 28.388 3.19 23 28
tpca 0.995 0.95 0.7 500 28.388 3.19 23 28
tpca 0.999 0.95 0.7 500 28.388 3.19 23 28
mix 0.03 0.95 0.7 500 5.248 0.899 4 5
mix 0.1 0.95 0.7 500 4.494 0.734 3 4
mix 0.3 0.95 0.7 500 4.138 0.704 3 4
mix 1 0.95 0.7 500 3.912 0.694 3 4
max_pca 1 0.95 1 500 77.078 213.881 20 47
max_pca 2 0.95 1 500 38.862 13.556 20 36
max_pca 3 0.95 1 500 41.884 11.987 24 39.025
max_pca 5 0.95 1 500 39.062 8.582 25 38
max_pca 10 0.95 1 500 26.92 4.302 20 26.025
max_pca 20 0.95 1 500 17.006 2.249 13 17
min_pca 1 0.95 1 500 30.806 198.442 3 7
min_pca 2 0.95 1 500 5.714 1.659 4 5
min_pca 3 0.95 1 500 8.732 2.524 5 8
min_pca 5 0.95 1 500 12.46 3.076 8 12
min_pca 10 0.95 1 500 16.318 2.852 12 16
min_pca 20 0.95 1 500 16.614 1.956 13 16
tpca 0.8 0.95 1 500 14.806 2.636 10.475 14
tpca 0.9 0.95 1 500 17.17 2.344 13 17
tpca 0.95 0.95 1 500 16.526 1.976 13 16
tpca 0.99 0.95 1 500 16.526 1.976 13 16
tpca 0.995 0.95 1 500 16.526 1.976 13 16
tpca 0.999 0.95 1 500 16.526 1.976 13 16
mix 0.03 0.95 1 500 3.428 0.507 3 3
mix 0.1 0.95 1 500 3.06 0.304 3 3
mix 0.3 0.95 1 500 2.904 0.339 2 3
mix 1 0.95 1 500 2.75 0.447 2 3
max_pca 1 0.95 1.3 500 34.23 19.076 13 29.025
max_pca 2 0.95 1.3 500 25.144 8.103 13 23
max_pca 3 0.95 1.3 500 28.236 7.663 17 27
max_pca 5 0.95 1.3 500 27.722 6.283 18 27
max_pca 10 0.95 1.3 500 18.6 2.874 14 18
max_pca 20 0.95 1.3 500 11.63 1.539 9 12
min_pca 1 0.95 1.3 500 30.896 217.407 3 4
min_pca 2 0.95 1.3 500 3.968 1.442 3 4
min_pca 3 0.95 1.3 500 5.798 1.814 4 5
min_pca 5 0.95 1.3 500 8.102 1.931 5 8
min_pca 10 0.95 1.3 500 10.654 1.712 8 10
min_pca 20 0.95 1.3 500 10.974 1.284 9 11
tpca 0.8 0.95 1.3 500 9.602 1.641 7 9
tpca 0.9 0.95 1.3 500 11.394 1.496 9 11
tpca 0.95 0.95 1.3 500 10.896 1.287 9 11
tpca 0.99 0.95 1.3 500 10.896 1.287 9 11
tpca 0.995 0.95 1.3 500 10.896 1.287 9 11
