method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
max_pca 1 0.98 0.5 500 25.618 6.571 14 25
max_pca 2 0.98 0.5 500 17.642 3.903 10 17
max_pca 3 0.98 0.5 500 13.95 2.847 9 14
max_pca 5 0.98 0.5 500 10.358 1.884 7 10
max_pca 10 0.98 0.5 500 7.22 1.165 5 7
max_pca 20 0.98 0.5 500 5.15 0.832 4 5
min_pca 1 0.98 0.5 500 77.98 371.951 2 3
min_pca 2 0.98 0.5 500 30.666 217.687 2 4
min_pca 3 0.98 0.5 500 12.206 90.549 2 5
min_pca 5 0.98 0.5 500 9.632 11.562 3 6
min_pca 10 0.98 0.5 500 24.834 91.41 5.475 14
min_pca 20 0.98 0.5 500 262.942 593.64 18 51
tpca 0.8 0.98 0.5 500 77.98 371.951 2 3
tpca 0.9 0.98 0.5 500 77.98 371.951 2 3
tpca 0.95 0.98 0.5 500 77.98 371.951 2 3
tpca 0.99 0.98 0.5 500 30.666 217.687 2 4
tpca 0.995 0.98 0.5 500 30.666 217.687 2 4
tpca 0.999 0.98 0.5 500 12.206 90.549 2 5
mix 0.03 0.98 0.5 500 4.474 0.714 3 4
mix 0.1 0.98 0.5 500 3.728 0.635 3 4
mix 0.3 0.98 0.5 500 3.292 0.54 2 3
mix 1 0.98 0.5 500 3.024 0.486 2 3
max_pca 1 0.98 1.5 500 1933.6 286.481 658.475 2000
max_pca 2 0.98 1.5 500 1956.202 261.608 1288.275 2000
max_pca 3 0.98 1.5 500 1899.782 412.425 171.275 2000
max_pca 5 0.98 1.5 500 1779.806 597.162 122.475 2000
max_pca 10 0.98 1.5 500 113.782 193.78 33.475 87
max_pca 20 0.98 1.5 500 22.584 7.677 10 22
min_pca 1 0.98 1.5 500 6.746 11.735 2 3
min_pca 2 0.98 1.5 500 5.214 4.582 2 4
min_pca 3 0.98 1.5 500 5.416 3.4 2 4
min_pca 5 0.98 1.5 500 6.288 3.007 3 5
min_pca 10 0.98 1.5 500 9 3.227 4.475 8
min_pca 20 0.98 1.5 500 12.418 3.096 8 12
tpca 0.8 0.98 1.5 500 6.746 11.735 2 3
tpca 0.9 0.98 1.5 500 6.746 11.735 2 3
tpca 0.95 0.98 1.5 500 6.746 11.735 2 3
tpca 0.99 0.98 1.5 500 5.214 4.582 2 4
tpca 0.995 0.98 1.5 500 5.214 4.582 2 4
tpca 0.999 0.98 1.5 500 5.416 3.4 2 4
mix 0.03 0.98 1.5 500 5.062 1.329 3 5
mix 0.1 0.98 1.5 500 4.556 1.186 3 4
mix 0.3 0.98 1.5 500 4.334 1.163 3 4
mix 1 0.98 1.5 500 4.24 1.137 3 4
max_pca 1 0.98 2 500 211.556 457.882 17.95 86
max_pca 2 0.98 2 500 40.206 19.6 12 36
max_pca 3 0.98 2 500 29 12.58 11 26
max_pca 5 0.98 2 500 21.144 8.289 9 19
max_pca 10 0.98 2 500 10.874 3.551 5 10
max_pca 20 0.98 2 500 5.334 1.376 3 5
min_pca 1 0.98 2 500 3.666 4.299 2 2
min_pca 2 0.98 2 500 2.904 1.51 2 2
min_pca 3 0.98 2 500 2.982 1.388 2 2
min_pca 5 0.98 2 500 3.3 1.304 2 3
min_pca 10 0.98 2 500 4.214 1.416 2 4
min_pca 20 0.98 2 500 5.486 1.399 3 5
tpca 0.8 0.98 2 500 3.666 4.299 2 2
tpca 0.9 0.98 2 500 3.666 4.299 2 2
tpca 0.95 0.98 2 500 3.666 4.299 2 2
tpca 0.99 0.98 2 500 2.904 1.51 2 2
tpca 0.995 0.98 2 500 2.904 1.51 2 2
tpca 0.999 0.98 2 500 2.982 1.388 2 2
mix 0.03 0.98 2 500 2.374 0.488 2 2
mix 0.1 0.98 2 500 2.226 0.419 2 2
mix 0.3 0.98 2 500 2.152 0.359 2 2
mix 1 0.98 2 500 2.118 0.323 2 2
max_pca 1 0.95 0.5 500 27.008 6.541 15 26
max_pca 2 0.95 0.5 500 18.516 3.955 12 18
max_pca 3 0.95 0.5 500 14.822 3.079 9 14.025
max_pca 5 0.95 0.5 500 11.07 2.138 7 11
max_pca 10 0.95 0.5 500 7.608 1.312 5 7
max_pca 20 0.95 0.5 500 5.306 0.877 4 5
min_pca 1 0.95 0.5 500 2.762 1.279 2 2
min_pca 2 0.95 0.5 500 2.828 1.141 2 2
min_pca 3 0.95 0.5 500 3.11 1.117 2 3
min_pca 5 0.95 0.5 500 3.81 1.292 2 3
min_pca 10 0.95 0.5 500 6.344 2.193 3 6
min_pca 20 0.95 0.5 500 15.132 5.686 7 14
tpca 0.8 0.95 0.5 500 2.762 1.279 2 2
tpca 0.9 0.95 0.5 500 2.762 1.279 2 2
tpca 0.95 0.95 0.5 500 2.762 1.279 2 2
tpca 0.99 0.95 0.5 500 2.828 1.141 2 2
tpca 0.995 0.95 0.5 500 2.828 1.141 2 2
tpca 0.999 0.95 0.5 500 3.11 1.117 2 3
mix 0.03 0.95 0.5 500 4.54 0.676 3 4
mix 0.1 0.95 0.5 500 3.792 0.627 3 4
mix 0.3 0.95 0.5 500 3.336 0.555 2.475 3
mix 1 0.95 0.5 500 3.082 0.481 2 3
max_pca 1 0.95 1.5 500 1927.432 312.614 575.825 2000
max_pca 2 0.95 1.5 500 1959.966 258.042 2000 2000
max_pca 3 0.95 1.5 500 1940.912 325.708 174.275 2000
max_pca 5 0.95 1.5 500 1865.02 474.784 139.425 2000
max_pca 10 0.95 1.5 500 171.722 345.815 40.475 101.025
max_pca 20 0.95 1.5 500 24.948 8.733 10 24
min_pca 1 0.95 1.5 500 2.962 2.704 2 2
min_pca 2 0.95 1.5 500 2.824 1.102 2 3
min_pca 3 0.95 1.5 500 3.028 1.04 2 3
min_pca 5 0.95 1.5 500 3.552 1.044 2 3
min_pca 10 0.95 1.5 500 5.12 1.416 3 5
min_pca 20 0.95 1.5 500 7.884 1.717 5 8
tpca 0.8 0.95 1.5 500 2.962 2.704 2 2
tpca 0.9 0.95 1.5 500 2.962 2.704 2 2
tpca 0.95 0.95 1.5 500 2.962 2.704 2 2
tpca 0.99 0.95 1.5 500 2.824 1.102 2 3
tpca 0.995 0.95 1.5 500 2.824 1.102 2 3
tpca 0.999 0.95 1.5 500 3.028 1.04 2 3
mix 0.03 0.95 1.5 500 5.028 1.26 3 5
mix 0.1 0.95 1.5 500 4.586 1.098 3 4
mix 0.3 0.95 1.5 500 4.348 1.018 3 4
mix 1 0.95 1.5 500 4.276 1.003 3 4
max_pca 1 0.95 2 500 204.532 420.049 17 92.025
max_pca 2 0.95 2 500 43.666 21.784 11 40
max_pca 3 0.95 2 500 31.09 13.884 9.475 29
max_pca 5 0.95 2 500 21.968 8.784 8 20
max_pca 10 0.95 2 500 11.584 3.769 5 11
max_pca 20 0.95 2 500 5.692 1.456 3 5
min_pca 1 0.95 2 500 2.206 0.544 2 2
min_pca 2 0.95 2 500 2.144 0.379 2 2
min_pca 3 0.95 2 500 2.164 0.387 2 2
min_pca 5 0.95 2 500 2.29 0.488 2 2
min_pca 10 0.95 2 500 2.888 0.6 2 3
min_pca 20 0.95 2 500 3.866 0.708 3 4
tpca 0.8 0.95 2 500 2.206 0.544 2 2
tpca 0.9 0.95 2 500 2.206 0.544 2 2
tpca 0.95 0.95 2 500 2.206 0.544 2 2
tpca 0.99 0.95 2 500 2.144 0.379 2 2
tpca 0.995 0.95 2 500 2.144 0.379 2 2
tpca 0.999 0.95 2 500 2.164 0.387 2 2
mix 0.03 0.95 2 500 2.424 0.503 2 2
mix 0.1 0.95 2 500 2.274 0.455 2 2
mix 0.3 0.95 2 500 2.21 0.408 2 2
mix 1 0.95 2 500 2.18 0.385 2 2
max_pca 1 0.9 0.5 500 29.792 8.52 16 28
max_pca 2 0.9 0.5 500 20.366 5.063 12 20
max_pca 3 0.9 0.5 500 16.046 3.546 10 16
max_pca 5 0.9 0.5 500 11.832 2.402 8 11.025
max_pca 10 0.9 0.5 500 8.292 1.463 6 8
max_pca 20 0.9 0.5 500 5.732 1.005 4 6
min_pca 1 0.9 0.5 500 2.282 0.568 2 2
min_pca 2 0.9 0.5 500 2.284 0.502 2 2
min_pca 3 0.9 0.5 500 2.396 0.54 2 2
min_pca 5 0.9 0.5 500 2.79 0.641 2 3
min_pca 10 0.9 0.5 500 4.066 0.927 3 4
min_pca 20 0.9 0.5 500 7.776 1.793 5 7
tpca 0.8 0.9 0.5 500 2.282 0.568 2 2
tpca 0.9 0.9 0.5 500 2.282 0.568 2 2
tpca 0.95 0.9 0.5 500 2.282 0.568 2 2
tpca 0.99 0.9 0.5 500 2.284 0.502 2 2
tpca 0.995 0.9 0.5 500 2.284 0.502 2 2
tpca 0.999 0.9 0.5 500 2.396 0.54 2 2
mix 0.03 0.9 0.5 500 4.552 0.738 3 4
mix 0.1 0.9 0.5 500 3.862 0.619 3 4
mix 0.3 0.9 0.5 500 3.45 0.573 3 3
mix 1 0.9 0.5 500 3.16 0.55 2 3
max_pca 1 0.9 1.5 500 1948.994 244.522 919.475 2000
max_pca 2 0.9 1.5 500 1984.516 139.803 2000 2000
max_pca 3 0.9 1.5 500 1982.024 179.158 2000 2000
max_pca 5 0.9 1.5 500 1963.694 254.738 2000 2000
max_pca 10 0.9 1.5 500 455.458 707.735 52.475 138.05
max_pca 20 0.9 1.5 500 27.864 9.376 12 26.025
