method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
mix 0.03 0.98 0.5 500 4.93 0.717 4 5
mix 0.1 0.98 0.5 500 4.112 0.62 3 4
mix 0.3 0.98 0.5 500 3.63 0.608 3 4
mix 1 0.98 0.5 500 3.244 0.511 2 3
max_pca 1 0.98 0.5 500 33.538 8.017 19.475 32
max_pca 2 0.98 0.5 500 21.498 4.492 13 21
max_pca 3 0.98 0.5 500 16.9 3.202 11 17
max_pca 5 0.98 0.5 500 12.758 2.2 9 13
max_pca 10 0.98 0.5 500 8.568 1.367 6 8
max_pca 20 0.98 0.5 500 8.66 1.054 7 9
min_pca 1 0.98 0.5 500 10.708 126.285 2 2
min_pca 2 0.98 0.5 500 2.476 1.465 2 2
min_pca 3 0.98 0.5 500 2.722 2.191 2 2
min_pca 5 0.98 0.5 500 3.12 2.687 2 2
min_pca 10 0.98 0.5 500 4.926 5.911 2 3
min_pca 20 0.98 0.5 500 10.432 15.605 3 6
tpca 0.8 0.98 0.5 500 10.708 126.285 2 2
tpca 0.9 0.98 0.5 500 10.708 126.285 2 2
tpca 0.95 0.98 0.5 500 10.708 126.285 2 2
tpca 0.99 0.98 0.5 500 10.708 126.285 2 2
tpca 0.995 0.98 0.5 500 10.708 126.285 2 2
tpca 0.999 0.98 0.5 500 2.476 1.465 2 2
mix 0.03 0.98 0.75 500 15.11 3.324 9.475 15
mix 0.1 0.98 0.75 500 12.326 2.835 7 12
mix 0.3 0.98 0.75 500 10.718 2.543 6 10
mix 1 0.98 0.75 500 9.784 2.377 6 9.025
max_pca 1 0.98 0.75 500 95.252 30.209 47 90
max_pca 2 0.98 0.75 500 58.058 17.135 28.95 56
max_pca 3 0.98 0.75 500 45.446 12.341 25 44
max_pca 5 0.98 0.75 500 33.996 8.229 19 33
max_pca 10 0.98 0.75 500 22.484 5.129 14 21.025
max_pca 20 0.98 0.75 500 25.964 4.649 17.475 25
min_pca 1 0.98 0.75 500 3.786 7.477 2 2
min_pca 2 0.98 0.75 500 3.976 6.485 2 2
min_pca 3 0.98 0.75 500 8.418 89.439 2 3
min_pca 5 0.98 0.75 500 10.032 89.636 2 4
min_pca 10 0.98 0.75 500 27.284 178.046 3 6.025
min_pca 20 0.98 0.75 500 82.98 327.017 5 16
tpca 0.8 0.98 0.75 500 3.786 7.477 2 2
tpca 0.9 0.98 0.75 500 3.786 7.477 2 2
tpca 0.95 0.98 0.75 500 3.786 7.477 2 2
tpca 0.99 0.98 0.75 500 3.786 7.477 2 2
tpca 0.995 0.98 0.75 500 3.786 7.477 2 2
tpca 0.999 0.98 0.75 500 3.976 6.485 2 2
mix 0.03 0.98 1.5 500 4.992 1.214 3 5
mix 0.1 0.98 1.5 500 4.6 1.107 3 4
mix 0.3 0.98 1.5 500 4.412 1.055 3 4
mix 1 0.98 1.5 500 4.334 1.062 3 4
max_pca 1 0.98 1.5 500 1959.688 261.36 1932.8 2000
max_pca 2 0.98 1.5 500 1722.202 652.981 115.8 2000
max_pca 3 0.98 1.5 500 907.098 905.786 70.9 195.025
max_pca 5 0.98 1.5 500 185.592 344.324 45 114
max_pca 10 0.98 1.5 500 52.996 18.777 23.475 50
max_pca 20 0.98 1.5 500 28.83 7.367 17 28
min_pca 1 0.98 1.5 500 2.406 2.116 2 2
min_pca 2 0.98 1.5 500 2.376 1.116 2 2
min_pca 3 0.98 1.5 500 2.478 1.151 2 2
min_pca 5 0.98 1.5 500 2.728 1.283 2 2
min_pca 10 0.98 1.5 500 3.706 1.82 2 3
min_pca 20 0.98 1.5 500 5.424 2.312 3 5
tpca 0.8 0.98 1.5 500 2.406 2.116 2 2
tpca 0.9 0.98 1.5 500 2.406 2.116 2 2
tpca 0.95 0.98 1.5 500 2.406 2.116 2 2
tpca 0.99 0.98 1.5 500 2.406 2.116 2 2
tpca 0.995 0.98 1.5 500 2.406 2.116 2 2
tpca 0.999 0.98 1.5 500 2.376 1.116 2 2
mix 0.03 0.98 2 500 2.42 0.498 2 2
mix 0.1 0.98 2 500 2.264 0.446 2 2
mix 0.3 0.98 2 500 2.196 0.402 2 2
mix 1 0.98 2 500 2.182 0.391 2 2
max_pca 1 0.98 2 500 67.008 37.234 17 58
max_pca 2 0.98 2 500 33.578 14.546 11 31
max_pca 3 0.98 2 500 23.214 9.442 8 22
max_pca 5 0.98 2 500 15.984 5.759 7 15
max_pca 10 0.98 2 500 9.528 3.019 5 9
max_pca 20 0.98 2 500 7.076 1.555 5 7
min_pca 1 0.98 2 500 2.086 0.399 2 2
min_pca 2 0.98 2 500 2.078 0.405 2 2
min_pca 3 0.98 2 500 2.098 0.439 2 2
min_pca 5 0.98 2 500 2.158 0.531 2 2
min_pca 10 0.98 2 500 2.46 0.741 2 2
min_pca 20 0.98 2 500 3.182 0.918 2 3
tpca 0.8 0.98 2 500 2.086 0.399 2 2
tpca 0.9 0.98 2 500 2.086 0.399 2 2
tpca 0.95 0.98 2 500 2.086 0.399 2 2
tpca 0.99 0.98 2 500 2.086 0.399 2 2
tpca 0.995 0.98 2 500 2.086 0.399 2 2
tpca 0.999 0.98 2 500 2.078 0.405 2 2
mix 0.03 0.95 0.5 500 5.016 0.719 4 5
mix 0.1 0.95 0.5 500 4.146 0.643 3 4
mix 0.3 0.95 0.5 500 3.674 0.6 3 4
mix 1 0.95 0.5 500 3.344 0.535 2.475 3
max_pca 1 0.95 0.5 500 36.108 8.119 22 35
max_pca 2 0.95 0.5 500 22.722 4.689 14 22
max_pca 3 0.95 0.5 500 17.91 3.555 11 18
max_pca 5 0.95 0.5 500 13.406 2.416 9 13
max_pca 10 0.95 0.5 500 9.016 1.456 6 9
max_pca 20 0.95 0.5 500 9.11 1.177 7 9
min_pca 1 0.95 0.5 500 2.04 0.225 2 2
min_pca 2 0.95 0.5 500 2.042 0.22 2 2
min_pca 3 0.95 0.5 500 2.084 0.324 2 2
min_pca 5 0.95 0.5 500 2.17 0.453 2 2
min_pca 10 0.95 0.5 500 2.666 0.805 2 2
min_pca 20 0.95 0.5 500 4.11 1.412 2 4
tpca 0.8 0.95 0.5 500 2.04 0.225 2 2
tpca 0.9 0.95 0.5 500 2.04 0.225 2 2
tpca 0.95 0.95 0.5 500 2.04 0.225 2 2
tpca 0.99 0.95 0.5 500 2.04 0.225 2 2
tpca 0.995 0.95 0.5 500 2.04 0.225 2 2
tpca 0.999 0.95 0.5 500 2.042 0.22 2 2
mix 0.03 0.95 0.75 500 15.25 3.631 9 15
mix 0.1 0.95 0.75 500 12.322 3.05 7 12
mix 0.3 0.95 0.75 500 10.854 2.715 6 11
mix 1 0.95 0.75 500 9.912 2.501 5 10
max_pca 1 0.95 0.75 500 102.842 44.15 44.95 96.025
max_pca 2 0.95 0.75 500 61.322 17.123 32 59
max_pca 3 0.95 0.75 500 48.284 13.119 26 46
max_pca 5 0.95 0.75 500 35.744 8.548 22 35
max_pca 10 0.95 0.75 500 23.564 5.118 14.475 23
max_pca 20 0.95 0.75 500 27.472 4.612 20 27
min_pca 1 0.95 0.75 500 2.142 0.45 2 2
min_pca 2 0.95 0.75 500 2.224 0.535 2 2
min_pca 3 0.95 0.75 500 2.39 0.701 2 2
min_pca 5 0.95 0.75 500 2.788 0.99 2 2
min_pca 10 0.95 0.75 500 4.25 1.825 2 4
min_pca 20 0.95 0.75 500 8.296 3.876 4 7
tpca 0.8 0.95 0.75 500 2.142 0.45 2 2
tpca 0.9 0.95 0.75 500 2.142 0.45 2 2
tpca 0.95 0.95 0.75 500 2.142 0.45 2 2
tpca 0.99 0.95 0.75 500 2.142 0.45 2 2
tpca 0.995 0.95 0.75 500 2.142 0.45 2 2
tpca 0.999 0.95 0.75 500 2.224 0.535 2 2
mix 0.03 0.95 1.5 500 5.072 1.263 3 5
mix 0.1 0.95 1.5 500 4.598 1.127 3 4
mix 0.3 0.95 1.5 500 4.422 1.054 3 4
mix 1 0.95 1.5 500 4.34 1.039 3 4
max_pca 1 0.95 1.5 500 1988.316 131.847 2000 2000
max_pca 2 0.95 1.5 500 1836.604 520.641 152.375 2000
max_pca 3 0.95 1.5 500 1212.994 912.175 66.75 2000
max_pca 5 0.95 1.5 500 323.482 568.542 48.95 130
max_pca 10 0.95 1.5 500 59.784 21.356 26 56
max_pca 20 0.95 1.5 500 30.866 7.584 18 30
min_pca 1 0.95 1.5 500 2.034 0.192 2 2
min_pca 2 0.95 1.5 500 2.036 0.186 2 2
min_pca 3 0.95 1.5 500 2.052 0.222 2 2
min_pca 5 0.95 1.5 500 2.124 0.353 2 2
min_pca 10 0.95 1.5 500 2.522 0.668 2 2
min_pca 20 0.95 1.5 500 3.56 0.912 2 3
tpca 0.8 0.95 1.5 500 2.034 0.192 2 2
tpca 0.9 0.95 1.5 500 2.034 0.192 2 2
tpca 0.95 0.95 1.5 500 2.034 0.192 2 2
tpca 0.99 0.95 1.5 500 2.034 0.192 2 2
tpca 0.995 0.95 1.5 500 2.034 0.192 2 2
tpca 0.999 0.95 1.5 500 2.036 0.186 2 2
mix 0.03 0.95 2 500 2.444 0.505 2 2
mix 0.1 0.95 2 500 2.286 0.452 2 2
mix 0.3 0.95 2 500 2.216 0.412 2 2
mix 1 0.95 2 500 2.202 0.402 2 2
max_pca 1 0.95 2 500 72.94 41.621 17.475 64
max_pca 2 0.95 2 500 37.054 15.982 11.475 34
max_pca 3 0.95 2 500 25.132 9.886 10 23
max_pca 5 0.95 2 500 17.374 6.126 7 17
max_pca 10 0.95 2 500 10.256 3.297 5 10
max_pca 20 0.95 2 500 7.386 1.79 4.475 7
min_pca 1 0.95 2 500 2.004 0.063 2 2
min_pca 2 0.95 2 500 2.004 0.063 2 2
min_pca 3 0.95 2 500 2.004 0.063 2 2
min_pca 5 0.95 2 500 2.008 0.089 2 2
min_pca 10 0.95 2 500 2.07 0.255 2 2
min_pca 20 0.95 2 500 2.394 0.536 2 2
tpca 0.8 0.95 2 500 2.004 0.063 2 2
tpca 0.9 0.95 2 500 2.004 0.063 2 2
tpca 0.95 0.95 2 500 2.004 0.063 2 2
tpca 0.99 0.95 2 500 2.004 0.063 2 2
tpca 0.995 0.95 2 500 2.004 0.063 2 2
tpca 0.999 0.95 2 500 2.004 0.063 2 2
