method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
max_pca 1 0.98 0.5 500 37.472 9.865 22 36
max_pca 2 0.98 0.5 500 26.3 4.963 17.475 26
max_pca 3 0.98 0.5 500 21.526 3.378 15.475 21
max_pca 5 0.98 0.5 500 17.402 2.19 13.475 17
max_pca 10 0.98 0.5 500 13.852 1.338 11.475 14
max_pca 20 0.98 0.5 500 10.104 0.859 8 10
min_pca 1 0.98 0.5 500 1996.41 80.275 2000 2000
min_pca 2 0.98 0.5 500 2000 0 2000 2000
min_pca 3 0.98 0.5 500 2000 0 2000 2000
min_pca 5 0.98 0.5 500 2000 0 2000 2000
min_pca 10 0.98 0.5 500 2000 0 2000 2000
min_pca 20 0.98 0.5 500 2000 0 2000 2000
tpca 0.8 0.98 0.5 500 2000 0 2000 2000
tpca 0.9 0.98 0.5 500 2000 0 2000 2000
tpca 0.95 0.98 0.5 500 2000 0 2000 2000
tpca 0.99 0.98 0.5 500 2000 0 2000 2000
tpca 0.995 0.98 0.5 500 2000 0 2000 2000
tpca 0.999 0.98 0.5 500 2000 0 2000 2000
mix 0.03 0.98 0.5 500 4.906 0.628 4 5
mix 0.1 0.98 0.5 500 4.084 0.549 3 4
mix 0.3 0.98 0.5 500 3.616 0.53 3 4
mix 1 0.98 0.5 500 3.286 0.482 3 3
max_pca 1 0.98 0.75 500 136.07 175.993 51 112
max_pca 2 0.98 0.75 500 68.186 16.575 37 66
max_pca 3 0.98 0.75 500 50.874 9.701 32 50
max_pca 5 0.98 0.75 500 37.584 5.632 27 37
max_pca 10 0.98 0.75 500 29.592 3.583 23 29
max_pca 20 0.98 0.75 500 21.62 2.341 17 21
min_pca 1 0.98 0.75 500 2000 0 2000 2000
min_pca 2 0.98 0.75 500 2000 0 2000 2000
min_pca 3 0.98 0.75 500 2000 0 2000 2000
min_pca 5 0.98 0.75 500 2000 0 2000 2000
min_pca 10 0.98 0.75 500 2000 0 2000 2000
min_pca 20 0.98 0.75 500 2000 0 2000 2000
tpca 0.8 0.98 0.75 500 2000 0 2000 2000
tpca 0.9 0.98 0.75 500 2000 0 2000 2000
tpca 0.95 0.98 0.75 500 2000 0 2000 2000
tpca 0.99 0.98 0.75 500 2000 0 2000 2000
tpca 0.995 0.98 0.75 500 2000 0 2000 2000
tpca 0.999 0.98 0.75 500 2000 0 2000 2000
mix 0.03 0.98 0.75 500 14.766 2.935 9 14.025
