method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
mix 0.03 0.98 0 500 1988.854 101.642 2000 2000
mix 0.1 0.98 0 500 1986.5 128.999 2000 2000
mix 0.3 0.98 0 500 1980.292 156.408 2000 2000
mix 1 0.98 0 500 1988.09 105.748 2000 2000
max_pca 1 0.98 0 500 45.862 12.407 25 44
max_pca 2 0.98 0 500 30.75 7.305 18 30
max_pca 3 0.98 0 500 25.876 5.317 16 25.025
max_pca 5 0.98 0 500 22.64 4.309 15 22
max_pca 10 0.98 0 500 20.654 3.394 15 20
max_pca 20 0.98 0 500 19.794 3.084 14.475 19
min_pca 1 0.98 0 500 2.016 0.141 2 2
min_pca 2 0.98 0 500 2.004 0.089 2 2
min_pca 3 0.98 0 500 2.004 0.063 2 2
min_pca 5 0.98 0 500 2.004 0.063 2 2
min_pca 10 0.98 0 500 2.016 0.126 2 2
min_pca 20 0.98 0 500 2.334 0.489 2 2
tpca 0.8 0.98 0 500 2.016 0.141 2 2
tpca 0.9 0.98 0 500 2.016 0.141 2 2
tpca 0.95 0.98 0 500 2.016 0.141 2 2
tpca 0.99 0.98 0 500 2.006 0.077 2 2
tpca 0.995 0.98 0 500 2.014 0.134 2 2
tpca 0.999 0.98 0 500 2.02 0.154 2 2
mix 0.03 0.98 0.25 500 1981.852 137.094 2000 2000
mix 0.1 0.98 0.25 500 1979.19 144.903 1813.375 2000
mix 0.3 0.98 0.25 500 1966.67 213.807 1636.475 2000
mix 1 0.98 0.25 500 1959.224 234.731 1309.075 2000
max_pca 1 0.98 0.25 500 84.118 25.294 43 81
max_pca 2 0.98 0.25 500 54.276 14.18 28.475 52
max_pca 3 0.98 0.25 500 45.668 11.13 26 44
max_pca 5 0.98 0.25 500 38.392 8.255 23 37
max_pca 10 0.98 0.25 500 33.086 6.469 21 33
max_pca 20 0.98 0.25 500 29.348 5.249 20 29
min_pca 1 0.98 0.25 500 2.014 0.134 2 2
min_pca 2 0.98 0.25 500 2.004 0.063 2 2
min_pca 3 0.98 0.25 500 2.004 0.063 2 2
min_pca 5 0.98 0.25 500 2.006 0.077 2 2
min_pca 10 0.98 0.25 500 2.034 0.192 2 2
min_pca 20 0.98 0.25 500 2.594 0.512 2 3
tpca 0.8 0.98 0.25 500 2.014 0.134 2 2
tpca 0.9 0.98 0.25 500 2.014 0.134 2 2
tpca 0.95 0.98 0.25 500 2.014 0.134 2 2
tpca 0.99 0.98 0.25 500 2.004 0.063 2 2
tpca 0.995 0.98 0.25 500 2.016 0.126 2 2
tpca 0.999 0.98 0.25 500 2.044 0.215 2 2
mix 0.03 0.98 0.5 500 1968.196 193.408 1525.85 2000
mix 0.1 0.98 0.5 500 1968.908 194.522 1545.9 2000
mix 0.3 0.98 0.5 500 1968.83 179.061 1483.6 2000
mix 1 0.98 0.5 500 1960.114 217.951 1273.525 2000
max_pca 1 0.98 0.5 500 487.862 690.717 73.9 171
