method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
max_pca 1 0.1 0 500 70.124 18.85 37 67
max_pca 2 0.1 0 500 65.166 14.837 39 63
max_pca 3 0.1 0 500 64.594 12.386 42 63
max_pca 5 0.1 0 500 63.288 10.939 44 62
max_pca 10 0.1 0 500 60.182 8.765 45 59
max_pca 20 0.1 0 500 54.138 6.863 41 54
min_pca 1 0.1 0 500 5.496 2.402 2 5
min_pca 2 0.1 0 500 7.238 2.56 3 7
min_pca 3 0.1 0 500 11.392 3.459 5 11
min_pca 5 0.1 0 500 18.724 4.141 11 18
min_pca 10 0.1 0 500 32.698 4.955 24 32
min_pca 20 0.1 0 500 50.07 5.229 40 50
tpca 0.8 0.1 0 500 11.392 3.459 5 11
tpca 0.9 0.1 0 500 21.57 4.475 13 21
tpca 0.95 0.1 0 500 32.582 4.907 24 32
tpca 0.99 0.1 0 500 48.464 5.221 38 48
tpca 0.995 0.1 0 500 48.464 5.221 38 48
tpca 0.999 0.1 0 500 48.464 5.221 38 48
max_pca 1 0.1 0.25 500 126.502 97.101 51.475 116
max_pca 2 0.1 0.25 500 97.882 26.968 55 92
max_pca 3 0.1 0.25 500 87.162 20.559 54.475 84
max_pca 5 0.1 0.25 500 76.522 14.381 52 75
max_pca 10 0.1 0.25 500 68.036 10.102 49 67
max_pca 20 0.1 0.25 500 58.628 8.221 44 58
min_pca 1 0.1 0.25 500 6.494 2.856 3 6
min_pca 2 0.1 0.25 500 8.918 3.253 4 8
min_pca 3 0.1 0.25 500 14.19 4.257 7 13
min_pca 5 0.1 0.25 500 23.244 5.229 14 23
min_pca 10 0.1 0.25 500 38.942 5.617 28.475 39
min_pca 20 0.1 0.25 500 57.612 5.836 46.475 57
tpca 0.8 0.1 0.25 500 14.19 4.257 7 13
tpca 0.9 0.1 0.25 500 26.318 5.476 16.475 26
tpca 0.95 0.1 0.25 500 38.68 5.635 27.475 38
tpca 0.99 0.1 0.25 500 55.99 5.882 45 55
tpca 0.995 0.1 0.25 500 55.99 5.882 45 55
tpca 0.999 0.1 0.25 500 55.99 5.882 45 55
max_pca 1 0.1 0.5 500 1012.622 893.367 95 294.225
max_pca 2 0.1 0.5 500 258.7 429.836 77 145
max_pca 3 0.1 0.5 500 119.27 29.748 69 115
max_pca 5 0.1 0.5 500 92.672 18.433 59.95 91
max_pca 10 0.1 0.5 500 77.532 12.387 55 76
max_pca 20 0.1 0.5 500 63.782 8.986 46.475 63
min_pca 1 0.1 0.5 500 9.26 4.02 3 8
min_pca 2 0.1 0.5 500 13.136 4.42 6 12
min_pca 3 0.1 0.5 500 21.234 5.467 12 21
min_pca 5 0.1 0.5 500 32.828 6.139 21.475 32
min_pca 10 0.1 0.5 500 50.796 6.597 39 50
min_pca 20 0.1 0.5 500 70.614 7.035 57 70
tpca 0.8 0.1 0.5 500 21.234 5.467 12 21
tpca 0.9 0.1 0.5 500 36.794 6.374 25 36
tpca 0.95 0.1 0.5 500 50.402 6.461 39 50
tpca 0.99 0.1 0.5 500 68.876 7.263 55 68
tpca 0.995 0.1 0.5 500 68.876 7.263 55 68
tpca 0.999 0.1 0.5 500 68.876 7.263 55 68
max_pca 1 0.1 0.75 500 1885.408 439.033 192.425 2000
max_pca 2 0.1 0.75 500 1332.996 875.868 114.475 2000
max_pca 3 0.1 0.75 500 293.834 485.333 87.425 153
max_pca 5 0.1 0.75 500 107.712 21.384 69 105
max_pca 10 0.1 0.75 500 85.122 13.631 60 84
max_pca 20 0.1 0.75 500 67.774 9.616 51 66
min_pca 1 0.1 0.75 500 17.158 7.125 6 16
min_pca 2 0.1 0.75 500 25.3 7.739 13 24
min_pca 3 0.1 0.75 500 37.73 8.759 22 37
min_pca 5 0.1 0.75 500 54.09 9.372 36 53
min_pca 10 0.1 0.75 500 72.524 9.503 56 71
min_pca 20 0.1 0.75 500 90.974 8.671 74 90
tpca 0.8 0.1 0.75 500 37.73 8.759 22 37
tpca 0.9 0.1 0.75 500 57.588 9.243 41 57
tpca 0.95 0.1 0.75 500 71.766 9.276 55 71
tpca 0.99 0.1 0.75 500 89.818 8.819 73 89
tpca 0.995 0.1 0.75 500 89.818 8.819 73 89
tpca 0.999 0.1 0.75 500 89.818 8.819 73 89
max_pca 1 0.05 0 500 1762.434 608.649 121 2000
max_pca 2 0.05 0 500 1371.89 868.895 100.375 2000
max_pca 3 0.05 0 500 372.918 597.257 87.95 156
max_pca 5 0.05 0 500 105.784 21.013 69 103
max_pca 10 0.05 0 500 84.774 13.69 60 83
max_pca 20 0.05 0 500 67.62 9.427 50 66
min_pca 1 0.05 0 500 45.894 198.309 5 19
min_pca 2 0.05 0 500 45.132 153.611 11 26
min_pca 3 0.05 0 500 49.51 90.296 20.475 39
min_pca 5 0.05 0 500 61.214 20.373 33.475 56
min_pca 10 0.05 0 500 78.008 15.973 53.475 76
min_pca 20 0.05 0 500 95.788 14.01 72.475 93
tpca 0.8 0.05 0 500 49.51 90.296 20.475 39
tpca 0.9 0.05 0 500 63.99 18.664 39 60
tpca 0.95 0.05 0 500 77.332 16.009 53 74
tpca 0.99 0.05 0 500 94.766 14.375 71 92.025
tpca 0.995 0.05 0 500 94.766 14.375 71 92.025
tpca 0.999 0.05 0 500 94.766 14.375 71 92.025
max_pca 1 0.05 0.25 500 1900.228 410.239 167.9 2000
max_pca 2 0.05 0.25 500 1600.622 753.236 121.95 2000
max_pca 3 0.05 0.25 500 489.322 700.366 97.475 171.025
max_pca 5 0.05 0.25 500 111.636 22.571 70 110
max_pca 10 0.05 0.25 500 87.708 14.288 62 86
max_pca 20 0.05 0.25 500 69.32 10.132 51 68
min_pca 1 0.05 0.25 500 112.986 386.741 6 25
min_pca 2 0.05 0.25 500 64.818 196.758 14 36
min_pca 3 0.05 0.25 500 66.33 125.337 26 52
min_pca 5 0.05 0.25 500 81.774 123.873 41 70
min_pca 10 0.05 0.25 500 89.024 18.116 60 86
min_pca 20 0.05 0.25 500 105.1 15.345 80 103
tpca 0.8 0.05 0.25 500 66.33 125.337 26 52
tpca 0.9 0.05 0.25 500 76.158 22.188 44.475 71
tpca 0.95 0.05 0.25 500 87.618 17.645 60 85
tpca 0.99 0.05 0.25 500 104.356 15.663 80 102
tpca 0.995 0.05 0.25 500 104.356 15.663 80 102
tpca 0.999 0.05 0.25 500 104.356 15.663 80 102
max_pca 1 0.05 0.5 500 1967.158 238.225 2000 2000
max_pca 2 0.05 0.5 500 1792.378 579.63 137 2000
max_pca 3 0.05 0.5 500 756.528 854.619 102.475 188.025
