method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
mix 0.03 0.98 0.5 500 8.322 1.863 5 8
mix 0.1 0.98 0.5 500 7.004 1.539 4 7
mix 0.3 0.98 0.5 500 6.368 1.409 4 6
mix 1 0.98 0.5 500 6.002 1.326 4 6
max_pca 1 0.98 0.5 500 1892.378 420 180.475 2000
max_pca 2 0.98 0.5 500 1140.462 904.504 92 1076.625
max_pca 3 0.98 0.5 500 903.81 891.867 82 210.05
max_pca 5 0.98 0.5 500 252.898 445.402 60.95 134
max_pca 10 0.98 0.5 500 81.444 23.746 41.475 79
max_pca 20 0.98 0.5 500 67.066 15.429 42 65
min_pca 1 0.98 0.5 500 2 0 2 2
min_pca 2 0.98 0.5 500 2 0 2 2
min_pca 3 0.98 0.5 500 2 0 2 2
min_pca 5 0.98 0.5 500 2 0 2 2
min_pca 10 0.98 0.5 500 2 0 2 2
min_pca 20 0.98 0.5 500 2 0 2 2
tpca 0.8 0.98 0.5 500 2 0 2 2
tpca 0.9 0.98 0.5 500 2 0 2 2
tpca 0.95 0.98 0.5 500 2 0 2 2
tpca 0.99 0.98 0.5 500 2 0 2 2
tpca 0.995 0.98 0.5 500 2 0 2 2
tpca 0.999 0.98 0.5 500 2 0 2 2
mix 0.03 0.98 0.7 500 5.17 0.824 4 5
mix 0.1 0.98 0.7 500 4.446 0.74 3 4
mix 0.3 0.98 0.7 500 4.048 0.72 3 4
mix 1 0.98 0.7 500 3.806 0.646 3 4
max_pca 1 0.98 0.7 500 1810.17 540.082 190.275 2000
max_pca 2 0.98 0.7 500 576.84 765.283 70 170
max_pca 3 0.98 0.7 500 391.614 616.01 65 152
max_pca 5 0.98 0.7 500 105.336 37.011 47 98
max_pca 10 0.98 0.7 500 55.898 15.935 28.475 54
max_pca 20 0.98 0.7 500 37.37 7.432 24.475 37
min_pca 1 0.98 0.7 500 2 0 2 2
min_pca 2 0.98 0.7 500 2 0 2 2
min_pca 3 0.98 0.7 500 2 0 2 2
min_pca 5 0.98 0.7 500 2 0 2 2
min_pca 10 0.98 0.7 500 2 0 2 2
min_pca 20 0.98 0.7 500 2 0 2 2
tpca 0.8 0.98 0.7 500 2 0 2 2
tpca 0.9 0.98 0.7 500 2 0 2 2
tpca 0.95 0.98 0.7 500 2 0 2 2
tpca 0.99 0.98 0.7 500 2 0 2 2
tpca 0.995 0.98 0.7 500 2 0 2 2
tpca 0.999 0.98 0.7 500 2 0 2 2
mix 0.03 0.98 1 500 3.38 0.522 3 3
mix 0.1 0.98 1 500 3.024 0.374 2 3
mix 0.3 0.98 1 500 2.868 0.362 2 3
mix 1 0.98 1 500 2.72 0.449 2 3
max_pca 1 0.98 1 500 1573.518 762.197 111.425 2000
max_pca 2 0.98 1 500 166.286 292.798 45 113
max_pca 3 0.98 1 500 126.428 193.53 44.475 99
max_pca 5 0.98 1 500 70.686 23.161 36 67
max_pca 10 0.98 1 500 33.836 9.31 18 32
max_pca 20 0.98 1 500 20.246 4.026 13 20
min_pca 1 0.98 1 500 2 0 2 2
min_pca 2 0.98 1 500 2 0 2 2
min_pca 3 0.98 1 500 2 0 2 2
min_pca 5 0.98 1 500 2 0 2 2
min_pca 10 0.98 1 500 2 0 2 2
min_pca 20 0.98 1 500 2 0 2 2
tpca 0.8 0.98 1 500 2 0 2 2
tpca 0.9 0.98 1 500 2 0 2 2
tpca 0.95 0.98 1 500 2 0 2 2
tpca 0.99 0.98 1 500 2 0 2 2
tpca 0.995 0.98 1 500 2 0 2 2
tpca 0.999 0.98 1 500 2 0 2 2
mix 0.03 0.98 1.3 500 2.778 0.421 2 3
mix 0.1 0.98 1.3 500 2.334 0.472 2 2
mix 0.3 0.98 1.3 500 2.106 0.308 2 2
mix 1 0.98 1.3 500 2.018 0.133 2 2
max_pca 1 0.98 1.3 500 1306.114 883.112 80.9 2000
max_pca 2 0.98 1.3 500 97.64 131.585 35 79
max_pca 3 0.98 1.3 500 79.556 90.944 30 69
max_pca 5 0.98 1.3 500 48.44 16.143 25 45
max_pca 10 0.98 1.3 500 22.322 5.698 12 22
max_pca 20 0.98 1.3 500 12.624 2.274 9 12
min_pca 1 0.98 1.3 500 2 0 2 2
min_pca 2 0.98 1.3 500 2 0 2 2
min_pca 3 0.98 1.3 500 2 0 2 2
min_pca 5 0.98 1.3 500 2 0 2 2
min_pca 10 0.98 1.3 500 2 0 2 2
min_pca 20 0.98 1.3 500 2 0 2 2
tpca 0.8 0.98 1.3 500 2 0 2 2
tpca 0.9 0.98 1.3 500 2 0 2 2
tpca 0.95 0.98 1.3 500 2 0 2 2
tpca 0.99 0.98 1.3 500 2 0 2 2
tpca 0.995 0.98 1.3 500 2 0 2 2
tpca 0.999 0.98 1.3 500 2 0 2 2
mix 0.03 0.95 0.5 500 8.44 1.826 5 8
mix 0.1 0.95 0.5 500 7.18 1.563 4 7
mix 0.3 0.95 0.5 500 6.548 1.406 4 6
mix 1 0.95 0.5 500 6.182 1.292 4 6
max_pca 1 0.95 0.5 500 1866.556 462.825 180 2000
max_pca 2 0.95 0.5 500 1091.476 907.278 85 352.425
max_pca 3 0.95 0.5 500 901.732 896.372 82.475 203.025
max_pca 5 0.95 0.5 500 313.14 541.064 63.475 135
max_pca 10 0.95 0.5 500 82.76 25.059 40 79
max_pca 20 0.95 0.5 500 67.43 16.376 40 65
min_pca 1 0.95 0.5 500 2 0 2 2
min_pca 2 0.95 0.5 500 2 0 2 2
min_pca 3 0.95 0.5 500 2 0 2 2
min_pca 5 0.95 0.5 500 2 0 2 2
min_pca 10 0.95 0.5 500 2 0 2 2
min_pca 20 0.95 0.5 500 2 0 2 2
tpca 0.8 0.95 0.5 500 2 0 2 2
tpca 0.9 0.95 0.5 500 2 0 2 2
tpca 0.95 0.95 0.5 500 2 0 2 2
tpca 0.99 0.95 0.5 500 2 0 2 2
tpca 0.995 0.95 0.5 500 2 0 2 2
tpca 0.999 0.95 0.5 500 2 0 2 2
mix 0.03 0.95 0.7 500 5.256 0.963 4 5
mix 0.1 0.95 0.7 500 4.532 0.816 3 4
mix 0.3 0.95 0.7 500 4.164 0.744 3 4
mix 1 0.95 0.7 500 3.948 0.647 3 4
max_pca 1 0.95 0.7 500 1827.584 522.49 160.425 2000
max_pca 2 0.95 0.7 500 669.016 822.558 70.475 175.025
max_pca 3 0.95 0.7 500 466.452 690.507 69 155
max_pca 5 0.95 0.7 500 118.876 152.049 49 99
max_pca 10 0.95 0.7 500 56 17.283 27 53
max_pca 20 0.95 0.7 500 38.796 8.326 23.475 38
min_pca 1 0.95 0.7 500 2 0 2 2
min_pca 2 0.95 0.7 500 2 0 2 2
min_pca 3 0.95 0.7 500 2 0 2 2
min_pca 5 0.95 0.7 500 2 0 2 2
min_pca 10 0.95 0.7 500 2 0 2 2
min_pca 20 0.95 0.7 500 2 0 2 2
tpca 0.8 0.95 0.7 500 2 0 2 2
tpca 0.9 0.95 0.7 500 2 0 2 2
tpca 0.95 0.95 0.7 500 2 0 2 2
tpca 0.99 0.95 0.7 500 2 0 2 2
tpca 0.995 0.95 0.7 500 2 0 2 2
tpca 0.999 0.95 0.7 500 2 0 2 2
mix 0.03 0.95 1 500 3.434 0.546 3 3
mix 0.1 0.95 1 500 3.044 0.393 2 3
mix 0.3 0.95 1 500 2.874 0.398 2 3
mix 1 0.95 1 500 2.732 0.452 2 3
max_pca 1 0.95 1 500 1564.572 763.716 98.475 2000
max_pca 2 0.95 1 500 294.034 542.76 46 111.025
max_pca 3 0.95 1 500 168.368 328.797 40.95 98
max_pca 5 0.95 1 500 71.854 26.576 34 66
max_pca 10 0.95 1 500 34.808 9.716 19 33
max_pca 20 0.95 1 500 20.514 4.015 13 20
min_pca 1 0.95 1 500 2 0 2 2
min_pca 2 0.95 1 500 2 0 2 2
min_pca 3 0.95 1 500 2 0 2 2
min_pca 5 0.95 1 500 2 0 2 2
min_pca 10 0.95 1 500 2 0 2 2
min_pca 20 0.95 1 500 2 0 2 2
tpca 0.8 0.95 1 500 2 0 2 2
tpca 0.9 0.95 1 500 2 0 2 2
tpca 0.95 0.95 1 500 2 0 2 2
tpca 0.99 0.95 1 500 2 0 2 2
tpca 0.995 0.95 1 500 2 0 2 2
tpca 0.999 0.95 1 500 2 0 2 2
mix 0.03 0.95 1.3 500 2.816 0.388 2 3
mix 0.1 0.95 1.3 500 2.402 0.491 2 2
mix 0.3 0.95 1.3 500 2.142 0.349 2 2
