method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
mix 0.03 0.98 0.5 500 8.188 1.704 5 8
mix 0.1 0.98 0.5 500 6.994 1.421 5 7
mix 0.3 0.98 0.5 500 6.272 1.269 4 6
mix 1 0.98 0.5 500 5.96 1.18 4 6
max_pca 1 0.98 0.5 500 1975.182 186.602 2000 2000
max_pca 2 0.98 0.5 500 1977.764 182.396 2000 2000
max_pca 3 0.98 0.5 500 1971.814 221.901 2000 2000
max_pca 5 0.98 0.5 500 1014.77 912.351 91 216.1
max_pca 10 0.98 0.5 500 68.978 16.348 40 67
max_pca 20 0.98 0.5 500 35.02 7.208 22.475 34
min_pca 1 0.98 0.5 500 2.004 0.063 2 2
min_pca 2 0.98 0.5 500 2 0 2 2
min_pca 3 0.98 0.5 500 2 0 2 2
min_pca 5 0.98 0.5 500 2 0 2 2
min_pca 10 0.98 0.5 500 2.198 0.399 2 2
min_pca 20 0.98 0.5 500 3.672 0.53 3 4
tpca 0.8 0.98 0.5 500 2 0 2 2
tpca 0.9 0.98 0.5 500 2 0 2 2
tpca 0.95 0.98 0.5 500 2 0 2 2
tpca 0.99 0.98 0.5 500 2 0 2 2
tpca 0.995 0.98 0.5 500 2 0 2 2
tpca 0.999 0.98 0.5 500 2.204 0.403 2 2
mix 0.03 0.98 0.7 500 5.126 0.855 4 5
mix 0.1 0.98 0.7 500 4.462 0.741 3 4
mix 0.3 0.98 0.7 500 4.07 0.686 3 4
mix 1 0.98 0.7 500 3.842 0.668 3 4
max_pca 1 0.98 0.7 500 1918.612 368.168 200.7 2000
max_pca 2 0.98 0.7 500 1911.566 387.489 188.475 2000
max_pca 3 0.98 0.7 500 1881.59 446.39 176 2000
max_pca 5 0.98 0.7 500 139.372 209.173 57.475 110
max_pca 10 0.98 0.7 500 40.364 9.395 25 39
max_pca 20 0.98 0.7 500 20.902 3.979 14 20
min_pca 1 0.98 0.7 500 2 0 2 2
min_pca 2 0.98 0.7 500 2 0 2 2
min_pca 3 0.98 0.7 500 2 0 2 2
min_pca 5 0.98 0.7 500 2 0 2 2
min_pca 10 0.98 0.7 500 2.002 0.045 2 2
min_pca 20 0.98 0.7 500 3.008 0.089 3 3
tpca 0.8 0.98 0.7 500 2 0 2 2
tpca 0.9 0.98 0.7 500 2 0 2 2
tpca 0.95 0.98 0.7 500 2 0 2 2
tpca 0.99 0.98 0.7 500 2 0 2 2
tpca 0.995 0.98 0.7 500 2 0 2 2
tpca 0.999 0.98 0.7 500 2.002 0.045 2 2
mix 0.03 0.98 1 500 3.33 0.496 3 3
mix 0.1 0.98 1 500 2.976 0.34 2 3
mix 0.3 0.98 1 500 2.846 0.383 2 3
mix 1 0.98 1 500 2.692 0.462 2 3
max_pca 1 0.98 1 500 1481.6 815.384 86.425 2000
max_pca 2 0.98 1 500 1238.416 898.002 73.9 2000
max_pca 3 0.98 1 500 1202.466 905.822 85 2000
max_pca 5 0.98 1 500 60.068 20.561 30 56
max_pca 10 0.98 1 500 22.256 4.823 13 21
max_pca 20 0.98 1 500 11.948 2.122 8 12
min_pca 1 0.98 1 500 2 0 2 2
min_pca 2 0.98 1 500 2 0 2 2
min_pca 3 0.98 1 500 2 0 2 2
min_pca 5 0.98 1 500 2 0 2 2
min_pca 10 0.98 1 500 2 0 2 2
min_pca 20 0.98 1 500 2.092 0.289 2 2
tpca 0.8 0.98 1 500 2 0 2 2
tpca 0.9 0.98 1 500 2 0 2 2
tpca 0.95 0.98 1 500 2 0 2 2
tpca 0.99 0.98 1 500 2 0 2 2
tpca 0.995 0.98 1 500 2 0 2 2
tpca 0.999 0.98 1 500 2 0 2 2
mix 0.03 0.98 1.3 500 2.798 0.402 2 3
mix 0.1 0.98 1.3 500 2.284 0.451 2 2
