method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
mix 0.03 0.98 0.5 500 4.918 0.651 4 5
mix 0.1 0.98 0.5 500 4.122 0.597 3 4
mix 0.3 0.98 0.5 500 3.65 0.533 3 4
mix 1 0.98 0.5 500 3.288 0.5 3 3
max_pca 1 0.98 0.5 500 36.834 9.193 21 36
max_pca 2 0.98 0.5 500 23.186 5.235 14 23
max_pca 3 0.98 0.5 500 19.154 3.596 13 19
max_pca 5 0.98 0.5 500 14.91 2.452 10.475 15
max_pca 10 0.98 0.5 500 11.094 1.542 8 11
max_pca 20 0.98 0.5 500 7.516 0.929 6 7
min_pca 1 0.98 0.5 500 686.21 939.978 2 9
min_pca 2 0.98 0.5 500 667.398 928.308 2 13
min_pca 3 0.98 0.5 500 725.79 948.769 2 17
min_pca 5 0.98 0.5 500 753.26 952.749 3 29
min_pca 10 0.98 0.5 500 937.51 974.306 6.475 109.025
min_pca 20 0.98 0.5 500 1380.278 896.52 28 2000
tpca 0.8 0.98 0.5 500 686.21 939.978 2 9
tpca 0.9 0.98 0.5 500 686.21 939.978 2 9
tpca 0.95 0.98 0.5 500 686.21 939.978 2 9
tpca 0.99 0.98 0.5 500 686.21 939.978 2 9
tpca 0.995 0.98 0.5 500 424.69 775.965 2 14
tpca 0.999 0.98 0.5 500 120.928 326.523 3 23
mix 0.03 0.98 0.75 500 15.196 3.236 9 15
mix 0.1 0.98 0.75 500 12.326 2.672 7 12
mix 0.3 0.98 0.75 500 10.786 2.355 6 11
mix 1 0.98 0.75 500 9.816 2.232 6 10
max_pca 1 0.98 0.75 500 129.982 128.841 49.475 114
max_pca 2 0.98 0.75 500 70.766 21.662 34.475 67
max_pca 3 0.98 0.75 500 56.98 15.437 30 55
max_pca 5 0.98 0.75 500 42.884 9.918 26 42
max_pca 10 0.98 0.75 500 30.168 5.468 21 30
max_pca 20 0.98 0.75 500 18.894 3.068 13 19
min_pca 1 0.98 0.75 500 836.182 975.47 3 28
min_pca 2 0.98 0.75 500 827.132 967.095 3 48.025
min_pca 3 0.98 0.75 500 912.55 977.128 4.475 74
min_pca 5 0.98 0.75 500 1020.574 976.971 7 133
min_pca 10 0.98 0.75 500 1410.296 889.357 24.475 2000
min_pca 20 0.98 0.75 500 1926.106 362.444 174.95 2000
tpca 0.8 0.98 0.75 500 836.182 975.47 3 28
tpca 0.9 0.98 0.75 500 836.182 975.47 3 28
tpca 0.95 0.98 0.75 500 836.182 975.47 3 28
tpca 0.99 0.98 0.75 500 836.182 975.47 3 28
tpca 0.995 0.98 0.75 500 864.326 975.68 3 45.025
tpca 0.999 0.98 0.75 500 920.814 973.714 6 86.025
mix 0.03 0.98 1.5 500 5.038 1.1 3 5
mix 0.1 0.98 1.5 500 4.58 0.943 3 4
mix 0.3 0.98 1.5 500 4.408 0.889 3 4
mix 1 0.98 1.5 500 4.328 0.898 3 4
max_pca 1 0.98 1.5 500 1649.238 710.605 106.95 2000
max_pca 2 0.98 1.5 500 893.16 901.175 65.425 193
max_pca 3 0.98 1.5 500 401.852 648.564 49 139
max_pca 5 0.98 1.5 500 140.968 241.226 46 103
max_pca 10 0.98 1.5 500 79.136 25.389 38.475 76
max_pca 20 0.98 1.5 500 54.854 15.026 31 53
min_pca 1 0.98 1.5 500 23.69 28.054 2 7
min_pca 2 0.98 1.5 500 20.636 20.904 2 9
min_pca 3 0.98 1.5 500 20.178 18.475 2 10
min_pca 5 0.98 1.5 500 17.718 12.721 3 12
min_pca 10 0.98 1.5 500 19.78 9.914 5 17
min_pca 20 0.98 1.5 500 20.332 6.201 9 20
tpca 0.8 0.98 1.5 500 23.69 28.054 2 7
tpca 0.9 0.98 1.5 500 23.69 28.054 2 7
tpca 0.95 0.98 1.5 500 23.69 28.054 2 7
tpca 0.99 0.98 1.5 500 23.69 28.054 2 7
tpca 0.995 0.98 1.5 500 19.85 19.373 2 9
tpca 0.999 0.98 1.5 500 14.488 9.55 3 11
mix 0.03 0.98 2 500 2.344 0.476 2 2
mix 0.1 0.98 2 500 2.198 0.399 2 2
mix 0.3 0.98 2 500 2.144 0.351 2 2
mix 1 0.98 2 500 2.132 0.339 2 2
max_pca 1 0.98 2 500 47.02 24.755 11 41
max_pca 2 0.98 2 500 27.41 12.827 9 25
max_pca 3 0.98 2 500 20.876 8.108 8 20
max_pca 5 0.98 2 500 16.024 5.705 7 15
max_pca 10 0.98 2 500 12.238 3.528 6 12
max_pca 20 0.98 2 500 8.812 2.012 5.475 8
min_pca 1 0.98 2 500 9.842 10.607 2 4
min_pca 2 0.98 2 500 8.5 7.83 2 4
min_pca 3 0.98 2 500 8.346 7.154 2 5
min_pca 5 0.98 2 500 7.49 5.229 2 5
min_pca 10 0.98 2 500 8.124 4.199 3 7
min_pca 20 0.98 2 500 8.532 2.896 4 8
tpca 0.8 0.98 2 500 9.842 10.607 2 4
tpca 0.9 0.98 2 500 9.842 10.607 2 4
tpca 0.95 0.98 2 500 9.842 10.607 2 4
tpca 0.99 0.98 2 500 9.842 10.607 2 4
tpca 0.995 0.98 2 500 7.908 6.896 2 4
tpca 0.999 0.98 2 500 6.346 3.853 2 5
mix 0.03 0.95 0.5 500 5.036 0.684 4 5
mix 0.1 0.95 0.5 500 4.2 0.611 3 4
mix 0.3 0.95 0.5 500 3.71 0.561 3 4
mix 1 0.95 0.5 500 3.348 0.493 3 3
max_pca 1 0.95 0.5 500 39.428 10.21 21 38
max_pca 2 0.95 0.5 500 24.722 5.434 15 24
max_pca 3 0.95 0.5 500 20.208 4.008 13 20
max_pca 5 0.95 0.5 500 15.734 2.735 11 15
max_pca 10 0.95 0.5 500 11.63 1.748 9 12
max_pca 20 0.95 0.5 500 7.956 1.024 6 8
min_pca 1 0.95 0.5 500 139.158 495.386 2 3
min_pca 2 0.95 0.5 500 146.046 501.861 2 4
min_pca 3 0.95 0.5 500 177.03 552.844 2 5
min_pca 5 0.95 0.5 500 184.482 557.853 2 8
min_pca 10 0.95 0.5 500 271.382 651.606 4 18
min_pca 20 0.95 0.5 500 628.082 878.477 18.475 78
tpca 0.8 0.95 0.5 500 139.158 495.386 2 3
tpca 0.9 0.95 0.5 500 139.158 495.386 2 3
tpca 0.95 0.95 0.5 500 139.158 495.386 2 3
tpca 0.99 0.95 0.5 500 139.158 495.386 2 3
tpca 0.995 0.95 0.5 500 99.902 408.954 2 4
tpca 0.999 0.95 0.5 500 70.422 317.476 2 7
mix 0.03 0.95 0.75 500 15.486 3.362 10 15
mix 0.1 0.95 0.75 500 12.546 2.645 8 12
mix 0.3 0.95 0.75 500 11.044 2.384 7 11
mix 1 0.95 0.75 500 10.112 2.224 6 10
max_pca 1 0.95 0.75 500 149.058 196.377 53 122
max_pca 2 0.95 0.75 500 75.48 24.106 33 72.025
max_pca 3 0.95 0.75 500 60.678 17.059 31.95 58
max_pca 5 0.95 0.75 500 44.964 10.762 27 43.025
