data_dim p0 n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 0.1 300 200 96 50 2909 2327 3491
100 0.1 300 200 96 50.97091 5053 4042 6064
100 0.1 300 200 96 51.93882 5333 4266 6400
100 0.1 300 200 96 52.9222 5647 4517 6777
100 0.1 300 200 96 53.92087 13714 10970 16458
100 0.1 300 200 96 54.85139 19200 15359 23041
100 0.1 300 200 96 55.73779 24000 19199 28801
100 0.1 300 200 96 56.58501 480000 383981 576019
100 0.1 300 200 96 52.28454 6400 5119 7681
100 0.1 300 200 96 53.26331 6857 5485 8229
100 0.1 300 200 96 54.25553 24000 19199 28801
100 0.1 300 200 96 55.08022 48000 38398 57602
100 0.1 300 200 96 55.65305 48000 38398 57602
100 0.1 300 200 96 56.23184 96000 76796 115204
100 0.1 300 200 384 56.23184 54857 49370 60344
100 0.1 300 200 384 56.48569 48000 43199 52801
100 0.1 300 200 384 56.77942 42667 38399 46935
100 0.1 300 200 384 57.10495 128000 115197 140803
100 0.1 300 200 384 56.94505 38400 34559 42241
100 0.1 300 200 384 57.29584 76800 69118 84482
100 0.1 300 200 384 57.42876 54857 49370 60344
100 0.1 300 200 384 57.68801 64000 57598 70402
100 0.1 300 200 384 57.89569 128000 115197 140803
100 0.1 300 200 384 57.73358 128000 115197 140803
100 0.1 300 200 384 57.57193 192000 172796 211204
100 0.1 300 200 384 57.04227 54857 49370 60344
100 0.1 300 200 384 57.29977 96000 86398 105602
100 0.1 300 200 1537 57.29977 48031 45629 50433
100 0.1 300 200 1537 57.44866 80895 76850 84940
100 0.1 300 200 1537 57.50354 69864 66371 73357
100 0.1 300 200 1537 57.59019 102467 97344 107590
100 0.1 300 200 6146 57.59019 105966 103316 108616
100 0.1 300 200 6146 57.5816 78795 76825 80765
100 0.1 300 200 6146 57.61212 87800 85604 89996
100 0.1 300 200 6146 57.62969 94554 92190 96918
100 0.1 300 200 6146 57.63754 75877 73980 77774
