data_dim p0 n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 0.3 200 200 96 90 4800 3839 5761
100 0.3 200 200 96 90.936 48000 38398 57602
100 0.3 200 200 96 84.02486 1920 1536 2304
100 0.3 200 200 96 85.38271 9600 7679 11521
100 0.3 200 200 384 85.38271 2133 1919 2347
100 0.3 200 200 384 86.05441 4267 3840 4694
100 0.3 200 200 384 86.54776 4800 4319 5281
100 0.3 200 200 384 86.99781 19200 17279 21121
100 0.3 200 200 384 86.19743 3840 3455 4225
100 0.3 200 200 384 86.72841 3840 3455 4225
100 0.3 200 200 384 87.26265 5486 4937 6035
100 0.3 200 200 384 87.65656 7680 6911 8449
100 0.3 200 200 384 87.85992 4800 4319 5281
100 0.3 200 200 384 88.31679 9600 8639 10561
100 0.3 200 200 1537 88.31679 10979 10430 11528
100 0.3 200 200 1537 88.27356 11823 11231 12415
100 0.3 200 200 1537 88.1931 8539 8112 8966
100 0.3 200 200 1537 88.25752 9606 9125 10087
100 0.3 200 200 6146 88.25752 9173 8943 9403
100 0.3 200 200 6146 88.27577 9312 9079 9545
100 0.3 200 200 6146 88.29095 11175 10895 11455
100 0.3 200 200 6146 88.26502 11175 10895 11455
100 0.3 200 200 6146 88.23909 12051 11749 12353
100 0.3 200 200 6146 88.19385 8907 8684 9130
100 0.3 200 200 6146 88.21795 10975 10700 11250
100 0.3 200 200 6146 88.19644 6025 5874 6176
