data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 91:92:93:94:95:96:97:98:99:100 300 200 96 21 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 22.386 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 23.86348 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 25.43847 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 27.1174 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 28.90715 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 30.81502 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 32.84882 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 35.01684 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 37.32795 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 39.79159 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 42.41784 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 45.21742 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 48.20177 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 51.38308 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 54.77437 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 58.38947 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 62.24318 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 66.35123 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 70.73041 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 75.39862 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 80.37493 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 85.67967 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 91.33453 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 97.36261 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 103.78854 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 110.63859 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 117.94073 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 125.72482 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 134.02266 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 142.86815 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 152.29745 1000 800 1200
100 91:92:93:94:95:96:97:98:99:100 300 200 96 162.34908 1011 808 1214
100 91:92:93:94:95:96:97:98:99:100 300 200 96 173.06293 1055 844 1266
100 91:92:93:94:95:96:97:98:99:100 300 200 96 184.47874 1200 960 1440
100 91:92:93:94:95:96:97:98:99:100 300 200 96 196.62974 1433 1146 1720
100 91:92:93:94:95:96:97:98:99:100 300 200 96 209.55054 1811 1448 2174
100 91:92:93:94:95:96:97:98:99:100 300 200 96 223.26758 3556 2844 4268
100 91:92:93:94:95:96:97:98:99:100 300 200 96 237.6228 5333 4266 6400
100 91:92:93:94:95:96:97:98:99:100 300 200 96 252.61949 32000 25598 38402
100 91:92:93:94:95:96:97:98:99:100 300 200 96 264.07157 32000 25598 38402
100 91:92:93:94:95:96:97:98:99:100 300 200 96 276.04282 96000 76796 115204
100 91:92:93:94:95:96:97:98:99:100 300 200 384 276.04282 192000 172796 211204
100 91:92:93:94:95:96:97:98:99:100 300 200 384 267.5775 34909 31417 38401
100 91:92:93:94:95:96:97:98:99:100 300 200 384 273.38313 192000 172796 211204
100 91:92:93:94:95:96:97:98:99:100 300 200 384 264.99938 38400 34559 42241
100 91:92:93:94:95:96:97:98:99:100 300 200 384 270.4407 76800 69118 84482
100 91:92:93:94:95:96:97:98:99:100 300 200 384 272.53211 48000 43199 52801
100 91:92:93:94:95:96:97:98:99:100 300 200 384 277.256 64000 57598 70402
100 91:92:93:94:95:96:97:98:99:100 300 200 384 280.58307 128000 115197 140803
100 91:92:93:94:95:96:97:98:99:100 300 200 384 277.9643 192000 172796 211204
100 91:92:93:94:95:96:97:98:99:100 300 200 384 269.44006 48000 43199 52801
100 91:92:93:94:95:96:97:98:99:100 300 200 384 274.11035 192000 172796 211204
100 91:92:93:94:95:96:97:98:99:100 300 200 384 265.7043 48000 43199 52801
100 91:92:93:94:95:96:97:98:99:100 300 200 384 270.30984 76800 69118 84482
100 91:92:93:94:95:96:97:98:99:100 300 200 384 272.40024 48000 43199 52801
100 91:92:93:94:95:96:97:98:99:100 300 200 384 277.12184 76800 69118 84482
100 91:92:93:94:95:96:97:98:99:100 300 200 384 279.26492 384000 345592 422408
100 91:92:93:94:95:96:97:98:99:100 300 200 384 252.82784 14222 12799 15645
100 91:92:93:94:95:96:97:98:99:100 300 200 384 260.05686 29538 26583 32493
100 91:92:93:94:95:96:97:98:99:100 300 200 384 266.1649 34909 31417 38401
100 91:92:93:94:95:96:97:98:99:100 300 200 384 271.93988 42667 38399 46935
100 91:92:93:94:95:96:97:98:99:100 300 200 384 277.13693 192000 172796 211204
100 91:92:93:94:95:96:97:98:99:100 300 200 384 268.63806 54857 49370 60344
100 91:92:93:94:95:96:97:98:99:100 300 200 384 272.68044 54857 49370 60344
100 91:92:93:94:95:96:97:98:99:100 300 200 384 276.78364 128000 115197 140803
100 91:92:93:94:95:96:97:98:99:100 300 200 384 274.20033 76800 69118 84482
100 91:92:93:94:95:96:97:98:99:100 300 200 384 276.32081 128000 115197 140803
100 91:92:93:94:95:96:97:98:99:100 300 200 384 273.74182 96000 86398 105602
100 91:92:93:94:95:96:97:98:99:100 300 200 1537 273.74182 85389 81120 89658
100 91:92:93:94:95:96:97:98:99:100 300 200 1537 274.40842 85389 81120 89658
100 91:92:93:94:95:96:97:98:99:100 300 200 1537 275.07665 80895 76850 84940
100 91:92:93:94:95:96:97:98:99:100 300 200 1537 275.95254 139727 132741 146713
100 91:92:93:94:95:96:97:98:99:100 300 200 1537 274.12542 85389 81120 89658
100 91:92:93:94:95:96:97:98:99:100 300 200 1537 274.79296 128083 121679 134487
100 91:92:93:94:95:96:97:98:99:100 300 200 1537 273.50679 85389 81120 89658
100 91:92:93:94:95:96:97:98:99:100 300 200 1537 274.17282 96062 91259 100865
100 91:92:93:94:95:96:97:98:99:100 300 200 6146 274.17282 90382 88122 92642
100 91:92:93:94:95:96:97:98:99:100 300 200 6146 274.39257 122920 119846 125994
100 91:92:93:94:95:96:97:98:99:100 300 200 6146 273.86848 75877 73980 77774
100 91:92:93:94:95:96:97:98:99:100 300 200 6146 274.41903 97556 95117 99995
100 91:92:93:94:95:96:97:98:99:100 300 200 6146 274.47492 97556 95117 99995
