data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 100:98:37 300 200 96 12.6 1000 800 1200
100 100:98:37 300 200 96 13.4316 1000 800 1200
100 100:98:37 300 200 96 14.31809 1000 800 1200
100 100:98:37 300 200 96 15.26308 1000 800 1200
100 100:98:37 300 200 96 16.27044 1000 800 1200
100 100:98:37 300 200 96 17.34429 1000 800 1200
100 100:98:37 300 200 96 18.48901 1000 800 1200
100 100:98:37 300 200 96 19.70929 1000 800 1200
100 100:98:37 300 200 96 21.0101 1000 800 1200
100 100:98:37 300 200 96 22.39677 1000 800 1200
100 100:98:37 300 200 96 23.87496 1000 800 1200
100 100:98:37 300 200 96 25.4507 1000 800 1200
100 100:98:37 300 200 96 27.13045 1032 825 1239
100 100:98:37 300 200 96 28.92048 1011 808 1214
100 100:98:37 300 200 96 30.82902 1055 844 1266
100 100:98:37 300 200 96 32.86261 1129 903 1355
100 100:98:37 300 200 96 35.02871 1171 936 1406
100 100:98:37 300 200 96 37.33661 1371 1096 1646
100 100:98:37 300 200 96 39.7916 1280 1024 1536
100 100:98:37 300 200 96 42.41041 1684 1347 2021
100 100:98:37 300 200 96 45.19016 2182 1745 2619
100 100:98:37 300 200 96 48.1371 2133 1706 2560
100 100:98:37 300 200 96 51.27779 2909 2327 3491
100 100:98:37 300 200 96 54.59687 4174 3339 5009
100 100:98:37 300 200 96 58.08473 6000 4799 7201
100 100:98:37 300 200 96 61.72471 13714 10970 16458
100 100:98:37 300 200 96 65.27536 19200 15359 23041
100 100:98:37 300 200 96 68.79153 32000 25598 38402
100 100:98:37 300 200 96 71.91008 96000 76796 115204
100 100:98:37 300 200 384 71.91008 96000 86398 105602
100 100:98:37 300 200 1537 71.91008 45206 42946 47466
100 100:98:37 300 200 1537 72.56678 45206 42946 47466
100 100:98:37 300 200 1537 73.22949 59115 56159 62071
100 100:98:37 300 200 1537 73.72848 128083 121679 134487
100 100:98:37 300 200 1537 73.3834 109786 104297 115275
100 100:98:37 300 200 1537 73.26371 51233 48671 53795
100 100:98:37 300 200 1537 73.85918 73190 69531 76849
100 100:98:37 300 200 1537 74.18921 102467 97344 107590
100 100:98:37 300 200 6146 74.18921 96031 93630 98432
100 100:98:37 300 200 6146 74.21375 120510 117497 123523
100 100:98:37 300 200 6146 74.08691 105966 103316 108616
100 100:98:37 300 200 6146 74.05007 75877 73980 77774
100 100:98:37 300 200 6146 74.19893 96031 93630 98432
