data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 100:99:98:97:96:56:64:73 300 200 96 18.6 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 19.8276 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 21.13622 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 22.53121 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 24.01827 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 25.60348 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 27.29331 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 29.09467 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 31.01491 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 33.0619 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 35.24398 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 37.57009 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 40.04971 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 42.69299 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 45.51073 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 48.51444 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 51.71639 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 55.12967 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 58.76823 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 62.64694 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 66.78163 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 71.18922 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 75.88771 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 80.8963 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 86.23545 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 91.92699 1000 800 1200
100 100:99:98:97:96:56:64:73 300 200 96 97.99418 1021 816 1226
100 100:99:98:97:96:56:64:73 300 200 96 104.46042 1032 825 1239
100 100:99:98:97:96:56:64:73 300 200 96 111.35258 1021 816 1226
100 100:99:98:97:96:56:64:73 300 200 96 118.70029 1103 882 1324
100 100:99:98:97:96:56:64:73 300 200 96 126.52636 1297 1037 1557
100 100:99:98:97:96:56:64:73 300 200 96 134.85205 1846 1476 2216
100 100:99:98:97:96:56:64:73 300 200 96 143.67622 2182 1745 2619
100 100:99:98:97:96:56:64:73 300 200 96 153.04564 3692 2953 4431
100 100:99:98:97:96:56:64:73 300 200 96 162.87198 6400 5119 7681
100 100:99:98:97:96:56:64:73 300 200 96 173.0352 24000 19199 28801
100 100:99:98:97:96:56:64:73 300 200 96 181.80231 96000 76796 115204
100 100:99:98:97:96:56:64:73 300 200 384 181.80231 38400 34559 42241
100 100:99:98:97:96:56:64:73 300 200 384 185.53532 96000 86398 105602
100 100:99:98:97:96:56:64:73 300 200 1537 185.53532 53000 50350 55650
100 100:99:98:97:96:56:64:73 300 200 1537 186.98868 96062 91259 100865
100 100:99:98:97:96:56:64:73 300 200 6146 186.98868 97556 95117 99995
100 100:99:98:97:96:56:64:73 300 200 6146 187.02676 97556 95117 99995
100 100:99:98:97:96:56:64:73 300 200 6146 187.06486 86563 84398 88728
100 100:99:98:97:96:56:64:73 300 200 6146 187.27432 69841 68094 71588
100 100:99:98:97:96:56:64:73 300 200 6146 187.74499 83054 80977 85131
