data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 1:2:3:4:5 300 200 96 15 1000 800 1200
100 1:2:3:4:5 300 200 96 15.99 1000 800 1200
100 1:2:3:4:5 300 200 96 17.04534 1000 800 1200
100 1:2:3:4:5 300 200 96 18.17033 1000 800 1200
100 1:2:3:4:5 300 200 96 19.36957 1000 800 1200
100 1:2:3:4:5 300 200 96 20.64797 1000 800 1200
100 1:2:3:4:5 300 200 96 22.01073 1000 800 1200
100 1:2:3:4:5 300 200 96 23.46344 1011 808 1214
100 1:2:3:4:5 300 200 96 25.01186 1091 872 1310
100 1:2:3:4:5 300 200 96 26.66112 1103 882 1324
100 1:2:3:4:5 300 200 96 28.41892 1215 972 1458
100 1:2:3:4:5 300 200 96 30.2905 1371 1096 1646
100 1:2:3:4:5 300 200 96 32.28218 1778 1422 2134
100 1:2:3:4:5 300 200 96 34.39606 2743 2194 3292
100 1:2:3:4:5 300 200 96 36.62623 3840 3071 4609
100 1:2:3:4:5 300 200 96 38.97422 8000 6399 9601
100 1:2:3:4:5 300 200 96 41.36464 8727 6981 10473
100 1:2:3:4:5 300 200 96 43.88162 19200 15359 23041
100 1:2:3:4:5 300 200 96 46.24538 480000 383981 576019
100 1:2:3:4:5 300 200 96 34.52988 2182 1745 2619
100 1:2:3:4:5 300 200 96 36.78164 4364 3491 5237
100 1:2:3:4:5 300 200 96 39.12674 7385 5907 8863
100 1:2:3:4:5 300 200 96 41.54256 19200 15359 23041
100 1:2:3:4:5 300 200 96 43.78032 16000 12799 19201
100 1:2:3:4:5 300 200 96 46.23202 24000 19199 28801
100 1:2:3:4:5 300 200 96 48.57444 480000 383981 576019
100 1:2:3:4:5 300 200 96 36.26891 3200 2559 3841
100 1:2:3:4:5 300 200 96 38.60947 4800 3839 5761
100 1:2:3:4:5 300 200 96 41.05988 5647 4517 6777
100 1:2:3:4:5 300 200 96 43.64263 32000 25598 38402
100 1:2:3:4:5 300 200 96 45.6211 96000 76796 115204
100 1:2:3:4:5 300 200 384 45.6211 34909 31417 38401
100 1:2:3:4:5 300 200 384 46.61094 48000 43199 52801
100 1:2:3:4:5 300 200 384 47.41886 38400 34559 42241
100 1:2:3:4:5 300 200 384 48.39253 96000 86398 105602
100 1:2:3:4:5 300 200 1537 48.39253 56926 54080 59772
100 1:2:3:4:5 300 200 1537 48.73994 85389 81120 89658
100 1:2:3:4:5 300 200 1537 48.85863 59115 56159 62071
100 1:2:3:4:5 300 200 1537 49.19156 102467 97344 107590
100 1:2:3:4:5 300 200 6146 49.19156 89072 86845 91299
100 1:2:3:4:5 300 200 6146 49.23635 81947 79898 83996
100 1:2:3:4:5 300 200 6146 49.31043 85361 83226 87496
100 1:2:3:4:5 300 200 6146 49.37058 115962 113062 118862
100 1:2:3:4:5 300 200 6146 49.30491 94554 92190 96918
100 1:2:3:4:5 300 200 6146 49.32729 89072 86845 91299
100 1:2:3:4:5 300 200 6146 49.37221 78795 76825 80765
100 1:2:3:4:5 300 200 6146 49.45945 104169 101564 106774
100 1:2:3:4:5 300 200 6146 49.44227 73167 71337 74997
100 1:2:3:4:5 300 200 6146 49.55283 97556 95117 99995
100 1:2:3:4:5 300 200 6146 49.56292 96031 93630 98432
100 1:2:3:4:5 300 200 6146 49.57931 86563 84398 88728
100 1:2:3:4:5 300 200 6146 49.63483 77797 75852 79742
100 1:2:3:4:5 300 200 6146 49.72666 89072 86845 91299
100 1:2:3:4:5 300 200 6146 49.77195 89072 86845 91299
100 1:2:3:4:5 300 200 6146 49.81727 94554 92190 96918
100 1:2:3:4:5 300 200 6146 49.83988 105966 103316 108616
100 1:2:3:4:5 300 200 6146 49.8151 133609 130268 136950
100 1:2:3:4:5 300 200 6146 49.67559 111745 108951 114539
