data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86:88:66:71:74 300 200 96 33 1000 800 1200
100 100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86:88:66:71:74 300 200 96 35.178 1000 800 1200
100 100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86:88:66:71:74 300 200 96 37.49975 1000 800 1200
100 100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86:88:66:71:74 300 200 96 39.97473 1000 800 1200
100 100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86:88:66:71:74 300 200 96 42.61306 1000 800 1200
100 100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86:88:66:71:74 300 200 96 45.42553 1000 800 1200
100 100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86:88:66:71:74 300 200 96 48.42361 1000 800 1200
100 100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86:88:66:71:74 300 200 96 51.61957 1000 800 1200
100 100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86:88:66:71:74 300 200 96 55.02646 1000 800 1200
100 100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86:88:66:71:74 300 200 96 58.65821 1000 800 1200
100 100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86:88:66:71:74 300 200 96 62.52965 1000 800 1200
100 100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86:88:66:71:74 300 200 96 66.65661 1000 800 1200
100 100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86:88:66:71:74 300 200 96 71.05594 1000 800 1200
100 100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86:88:66:71:74 300 200 96 75.74563 1000 800 1200
100 100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86:88:66:71:74 300 200 96 80.74485 1000 800 1200
100 100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86:88:66:71:74 300 200 96 86.074 1000 800 1200
100 100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86:88:66:71:74 300 200 96 91.75489 1000 800 1200
100 100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86:88:66:71:74 300 200 96 97.81071 1000 800 1200
100 100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86:88:66:71:74 300 200 96 104.26622 1000 800 1200
100 100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86:88:66:71:74 300 200 96 111.14779 1000 800 1200
100 100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86:88:66:71:74 300 200 96 118.48354 1000 800 1200
100 100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86:88:66:71:74 300 200 96 126.30346 1000 800 1200
100 100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86:88:66:71:74 300 200 96 134.63949 1000 800 1200
