data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 100-99-97-98-96-95-94-93-92 200 200 96 19.8 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 21.1068 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 22.49985 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 23.98484 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 25.56784 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 27.25532 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 29.05417 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 30.97174 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 33.01588 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 35.19492 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 37.51779 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 39.99396 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 42.63356 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 45.44738 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 48.44691 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 51.6444 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 55.05293 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 58.68643 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 62.55973 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 66.68867 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 71.09013 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 75.78207 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 80.78369 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 86.11541 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 91.79903 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 97.85777 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 104.31638 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 111.20126 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 118.54055 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 126.36422 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 134.70426 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 143.59474 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 153.07199 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 163.17475 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 173.94428 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 185.4246 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 197.66263 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 210.70836 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 224.61511 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 239.43971 100 80 120
100 100-99-97-98-96-95-94-93-92 200 200 96 255.24273 103 82 124
100 100-99-97-98-96-95-94-93-92 200 200 96 272.08364 105 84 126
100 100-99-97-98-96-95-94-93-92 200 200 96 290.03209 122 97 147
100 100-99-97-98-96-95-94-93-92 200 200 96 309.13167 166 132 200
100 100-99-97-98-96-95-94-93-92 200 200 96 329.39835 259 207 311
100 100-99-97-98-96-95-94-93-92 200 200 96 350.78948 640 512 768
100 100-99-97-98-96-95-94-93-92 200 200 96 372.67874 2400 1920 2880
100 100-99-97-98-96-95-94-93-92 200 200 96 391.56113 3200 2559 3841
100 100-99-97-98-96-95-94-93-92 200 200 96 409.3119 9600 7679 11521
100 100-99-97-98-96-95-94-93-92 200 200 384 409.3119 19200 17279 21121
100 100-99-97-98-96-95-94-93-92 200 200 384 396.75967 4267 3840 4694
100 100-99-97-98-96-95-94-93-92 200 200 384 404.34175 19200 17279 21121
100 100-99-97-98-96-95-94-93-92 200 200 384 391.94193 3840 3455 4225
100 100-99-97-98-96-95-94-93-92 200 200 384 399.98981 9600 8639 10561
100 100-99-97-98-96-95-94-93-92 200 200 1537 399.98981 10979 10430 11528
100 100-99-97-98-96-95-94-93-92 200 200 1537 399.33716 9606 9125 10087
100 100-99-97-98-96-95-94-93-92 200 200 6146 399.33716 7682 7489 7875
100 100-99-97-98-96-95-94-93-92 200 200 6146 400.10854 9312 9079 9545
100 100-99-97-98-96-95-94-93-92 200 200 6146 400.33794 8536 8322 8750
100 100-99-97-98-96-95-94-93-92 200 200 6146 400.82635 9603 9362 9844
100 100-99-97-98-96-95-94-93-92 200 200 6146 400.95896 9913 9665 10161
