data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 1-2-3-4-5 200 200 96 15 139 111 167
100 1-2-3-4-5 200 200 96 15.9861 135 108 162
100 1-2-3-4-5 200 200 96 17.03745 223 178 268
100 1-2-3-4-5 200 200 96 18.14795 274 219 329
100 1-2-3-4-5 200 200 96 19.32467 436 348 524
100 1-2-3-4-5 200 200 96 20.55681 640 512 768
100 1-2-3-4-5 200 200 96 21.83955 960 768 1152
100 1-2-3-4-5 200 200 96 23.15575 9600 7679 11521
100 1-2-3-4-5 200 200 384 23.15575 1371 1233 1509
100 1-2-3-4-5 200 200 384 23.82179 2259 2033 2485
100 1-2-3-4-5 200 200 384 24.43647 3200 2879 3521
100 1-2-3-4-5 200 200 384 24.99036 6400 5759 7041
100 1-2-3-4-5 200 200 384 25.29025 7680 6911 8449
100 1-2-3-4-5 200 200 384 25.48582 9600 8639 10561
100 1-2-3-4-5 200 200 1537 25.48582 6683 6348 7018
100 1-2-3-4-5 200 200 1537 25.62672 6683 6348 7018
100 1-2-3-4-5 200 200 1537 25.76839 8539 8112 8966
100 1-2-3-4-5 200 200 1537 25.83114 7319 6953 7685
100 1-2-3-4-5 200 200 1537 25.94656 8089 7684 8494
100 1-2-3-4-5 200 200 1537 26.0292 9606 9125 10087
100 1-2-3-4-5 200 200 6146 26.0292 7064 6887 7241
100 1-2-3-4-5 200 200 6146 26.09288 6754 6585 6923
100 1-2-3-4-5 200 200 6146 26.16346 8536 8322 8750
100 1-2-3-4-5 200 200 6146 26.19538 9173 8943 9403
100 1-2-3-4-5 200 200 6146 26.21344 7982 7782 8182
100 1-2-3-4-5 200 200 6146 26.25752 7495 7307 7683
100 1-2-3-4-5 200 200 6146 26.31233 8907 8684 9130
100 1-2-3-4-5 200 200 6146 26.3363 11819 11523 12115
100 1-2-3-4-5 200 200 6146 26.29638 9173 8943 9403
100 1-2-3-4-5 200 200 6146 26.3145 8780 8560 9000
100 1-2-3-4-5 200 200 6146 26.34125 7879 7682 8076
100 1-2-3-4-5 200 200 6146 26.38781 8536 8322 8750
100 1-2-3-4-5 200 200 6146 26.42 8907 8684 9130
100 1-2-3-4-5 200 200 6146 26.44407 9455 9218 9692
100 1-2-3-4-5 200 200 6146 26.45608 10075 9823 10327
