data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 1-2-3 200 200 96 12.6 229 183 275
100 1-2-3 200 200 96 13.42076 320 256 384
100 1-2-3 200 200 96 14.28685 369 295 443
100 1-2-3 200 200 96 15.20416 505 404 606
100 1-2-3 200 200 96 16.16659 800 640 960
100 1-2-3 200 200 96 17.15814 1600 1280 1920
100 1-2-3 200 200 96 18.11899 9600 7679 11521
100 1-2-3 200 200 384 18.11899 2954 2658 3250
100 1-2-3 200 200 384 18.54455 2133 1919 2347
100 1-2-3 200 200 384 19.03085 3840 3455 4225
100 1-2-3 200 200 384 19.42161 2954 2658 3250
100 1-2-3 200 200 384 19.87776 12800 11519 14081
100 1-2-3 200 200 384 19.69224 12800 11519 14081
100 1-2-3 200 200 384 19.50844 5486 4937 6035
100 1-2-3 200 200 384 19.80198 4800 4319 5281
100 1-2-3 200 200 384 20.14521 9600 8639 10561
100 1-2-3 200 200 1537 20.14521 4958 4710 5206
100 1-2-3 200 200 1537 20.3145 7685 7300 8070
100 1-2-3 200 200 1537 20.39288 9041 8589 9493
100 1-2-3 200 200 1537 20.42547 6683 6348 7018
100 1-2-3 200 200 1537 20.53839 9041 8589 9493
100 1-2-3 200 200 1537 20.57122 5693 5408 5978
100 1-2-3 200 200 1537 20.71889 9041 8589 9493
100 1-2-3 200 200 1537 20.752 10247 9734 10760
100 1-2-3 200 200 6146 20.752 10417 10156 10678
100 1-2-3 200 200 6146 20.74479 9038 8812 9264
100 1-2-3 200 200 6146 20.76142 11819 11523 12115
100 1-2-3 200 200 6146 20.72995 10243 9986 10500
