data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 28.2 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 30.0612 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 32.04524 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 34.16022 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 36.4148 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 38.81818 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 41.38018 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 44.11127 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 47.02261 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 50.1261 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 53.43443 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 56.9611 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 60.72053 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 64.72809 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 69.00014 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 73.55415 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 78.40872 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 83.5837 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 89.10022 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 94.98084 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 101.24957 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 107.93205 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 115.05556 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 122.64923 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 130.74408 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 139.37319 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 148.57182 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 158.37756 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 168.83047 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 179.97329 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 191.85152 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 204.51372 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 218.01163 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 232.4004 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 247.73882 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 264.08958 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 281.5195 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 300.09978 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 319.90637 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 341.02019 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 363.52752 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 387.52034 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 413.09668 100 80 120
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 440.36106 101 80 122
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 469.42196 107 85 129
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 500.3819 123 98 148
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 533.33038 196 156 236
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 568.18885 738 590 886
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 603.27262 1371 1096 1646
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 96 637.97688 9600 7679 11521
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 384 637.97688 4267 3840 4694
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 384 650.16862 19200 17279 21121
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 384 630.23012 7680 6911 8449
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 384 635.1039 12800 11519 14081
100 100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 200 200 384 629.17626 5486 4937 6035
