data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 27 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 28.782 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 30.68161 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 32.7066 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 34.86523 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 37.16634 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 39.61932 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 42.23419 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 45.02165 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 47.99308 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 51.16062 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 54.53722 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 58.13668 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 61.9737 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 66.06396 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 70.42419 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 75.07218 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 80.02695 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 85.30872 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 90.9391 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 96.94108 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 103.33919 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 110.15958 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 117.43011 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 125.1805 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 133.44241 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 142.24961 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 151.63808 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 161.6462 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 172.31485 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 183.68763 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 195.81101 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 208.73454 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 222.51102 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 237.19674 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 252.85173 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 269.53994 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 287.32958 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 306.29333 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 326.50869 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 348.05827 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 371.03011 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 395.5181 100 80 120
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 421.62229 101 80 122
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 449.44655 101 80 122
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 479.10703 109 87 131
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 510.69935 141 112 170
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 544.26591 246 196 296
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 579.65771 1200 960 1440
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 96 613.6643 9600 7679 11521
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 384 613.6643 3200 2879 3521
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 384 627.57402 12800 11519 14081
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 384 621.71666 7680 6911 8449
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 384 626.52461 6400 5759 7041
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 384 634.0429 19200 17279 21121
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 384 614.59892 3200 2879 3521
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 384 628.52983 7680 6911 8449
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 384 633.39046 12800 11519 14081
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 384 627.47881 4267 3840 4694
100 100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 200 200 384 639.46993 19200 17279 21121
