data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497-500-453-457-460-458 1000 200 96 65.4 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497-500-453-457-460-458 1000 200 96 69.7164 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497-500-453-457-460-458 1000 200 96 74.31768 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497-500-453-457-460-458 1000 200 96 79.22265 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497-500-453-457-460-458 1000 200 96 84.45134 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497-500-453-457-460-458 1000 200 96 90.02513 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497-500-453-457-460-458 1000 200 96 95.96679 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497-500-453-457-460-458 1000 200 96 102.3006 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497-500-453-457-460-458 1000 200 96 109.05244 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497-500-453-457-460-458 1000 200 96 116.2499 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497-500-453-457-460-458 1000 200 96 123.92239 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497-500-453-457-460-458 1000 200 96 132.10127 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497-500-453-457-460-458 1000 200 96 140.81996 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497-500-453-457-460-458 1000 200 96 150.11407 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497-500-453-457-460-458 1000 200 96 160.0216 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497-500-453-457-460-458 1000 200 96 170.58303 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497-500-453-457-460-458 1000 200 96 181.84151 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497-500-453-457-460-458 1000 200 96 193.84305 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497-500-453-457-460-458 1000 200 96 206.63669 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497-500-453-457-460-458 1000 200 96 220.27471 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497-500-453-457-460-458 1000 200 96 234.81284 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497-500-453-457-460-458 1000 200 96 250.31049 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497-500-453-457-460-458 1000 200 96 266.83098 100 80 120
