data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497 1000 200 96 59.4 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497 1000 200 96 63.3204 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497 1000 200 96 67.49955 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497 1000 200 96 71.95452 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497 1000 200 96 76.70351 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497 1000 200 96 81.76595 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497 1000 200 96 87.1625 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497 1000 200 96 92.91522 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497 1000 200 96 99.04763 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497 1000 200 96 105.58477 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497 1000 200 96 112.55337 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497 1000 200 96 119.98189 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497 1000 200 96 127.90069 100 80 120
500 474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497 1000 200 96 136.34214 100 80 120
