data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
132 132-131-126-128-127-125-130-129 497 200 96 18.6 497 397 597
132 132-131-126-128-127-125-130-129 497 200 96 19.8276 497 397 597
132 132-131-126-128-127-125-130-129 497 200 96 21.13622 497 397 597
132 132-131-126-128-127-125-130-129 497 200 96 22.53121 497 397 597
132 132-131-126-128-127-125-130-129 497 200 96 24.01827 497 397 597
132 132-131-126-128-127-125-130-129 497 200 96 25.60348 497 397 597
132 132-131-126-128-127-125-130-129 497 200 96 27.29331 497 397 597
132 132-131-126-128-127-125-130-129 497 200 96 29.09467 497 397 597
132 132-131-126-128-127-125-130-129 497 200 96 31.01491 497 397 597
132 132-131-126-128-127-125-130-129 497 200 96 33.0619 497 397 597
132 132-131-126-128-127-125-130-129 497 200 96 35.24398 497 397 597
132 132-131-126-128-127-125-130-129 497 200 96 37.57009 497 397 597
132 132-131-126-128-127-125-130-129 497 200 96 40.04971 497 397 597
132 132-131-126-128-127-125-130-129 497 200 96 42.69299 497 397 597
132 132-131-126-128-127-125-130-129 497 200 96 45.51073 497 397 597
132 132-131-126-128-127-125-130-129 497 200 96 48.51444 497 397 597
132 132-131-126-128-127-125-130-129 497 200 96 51.71639 497 397 597
132 132-131-126-128-127-125-130-129 497 200 96 55.12967 497 397 597
132 132-131-126-128-127-125-130-129 497 200 96 58.76823 497 397 597
132 132-131-126-128-127-125-130-129 497 200 96 62.64694 497 397 597
132 132-131-126-128-127-125-130-129 497 200 96 66.78163 497 397 597
132 132-131-126-128-127-125-130-129 497 200 96 71.18922 497 397 597
132 132-131-126-128-127-125-130-129 497 200 96 75.88771 497 397 597
132 132-131-126-128-127-125-130-129 497 200 96 80.8963 497 397 597
132 132-131-126-128-127-125-130-129 497 200 96 86.23545 508 406 610
132 132-131-126-128-127-125-130-129 497 200 96 91.92572 513 410 616
132 132-131-126-128-127-125-130-129 497 200 96 97.99085 530 424 636
132 132-131-126-128-127-125-130-129 497 200 96 104.45391 561 448 674
132 132-131-126-128-127-125-130-129 497 200 96 111.3389 682 545 819
132 132-131-126-128-127-125-130-129 497 200 96 118.65963 900 720 1080
132 132-131-126-128-127-125-130-129 497 200 96 126.42702 1256 1004 1508
132 132-131-126-128-127-125-130-129 497 200 96 134.64249 2272 1817 2727
132 132-131-126-128-127-125-130-129 497 200 96 143.20832 3976 3180 4772
132 132-131-126-128-127-125-130-129 497 200 96 151.99176 47712 38167 57257
132 132-131-126-128-127-125-130-129 497 200 384 151.99176 10603 9542 11664
132 132-131-126-128-127-125-130-129 497 200 384 155.97729 17350 15614 19086
132 132-131-126-128-127-125-130-129 497 200 384 159.36151 23856 21469 26243
132 132-131-126-128-127-125-130-129 497 200 384 162.12377 23856 21469 26243
132 132-131-126-128-127-125-130-129 497 200 384 164.93392 63616 57253 69979
132 132-131-126-128-127-125-130-129 497 200 384 163.39453 21205 19084 23326
132 132-131-126-128-127-125-130-129 497 200 384 166.51722 63616 57253 69979
132 132-131-126-128-127-125-130-129 497 200 384 164.96306 47712 42939 52485
132 132-131-126-128-127-125-130-129 497 200 1537 164.96306 44935 42688 47182
132 132-131-126-128-127-125-130-129 497 200 1537 165.22666 38194 36284 40104
132 132-131-126-128-127-125-130-129 497 200 1537 165.86418 47743 45356 50130
132 132-131-126-128-127-125-130-129 497 200 6146 165.86418 42424 41363 43485
132 132-131-126-128-127-125-130-129 497 200 6146 166.06654 52665 51348 53982
132 132-131-126-128-127-125-130-129 497 200 6146 165.98398 50909 49636 52182
