data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 23.4 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 24.9444 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 26.59073 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 28.34572 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 30.21654 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 32.21083 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 34.33674 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 36.60297 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 39.01876 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 41.594 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 44.33921 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 47.26559 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 50.38512 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 53.71054 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 57.25544 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 61.03429 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 65.06256 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 69.35669 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 73.93423 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 78.81389 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 84.0156 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 89.56063 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 95.47164 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 101.77276 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 108.48977 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 115.65009 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 123.283 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 131.41967 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 140.09337 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 149.33953 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 159.19594 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 169.70288 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 180.90327 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 192.84288 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 205.57051 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 219.13817 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 233.60128 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 249.01897 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 265.45422 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 282.9742 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 301.6505 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 321.55943 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 342.78235 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 365.40599 100 80 120
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 389.52278 105 84 126
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 415.2183 113 90 136
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 442.58672 143 114 172
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 471.67057 229 183 275
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 502.39519 480 384 576
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 96 534.28054 9600 7679 11521
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 384 534.28054 2743 2468 3018
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 384 547.20479 9600 8639 10561
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 1537 547.20479 5912 5616 6208
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 1537 550.93308 5912 5616 6208
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 1537 554.68677 4958 4710 5206
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 1537 559.34799 13973 13274 14672
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 1537 555.64417 9606 9125 10087
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 6146 555.64417 7982 7782 8182
100 100-99-98-97-95-96-93-89-94-90-91-79 200 200 6146 556.57858 10243 9986 10500
