data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 24.6 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 26.2236 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 27.95436 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 29.79935 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 31.7661 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 33.86266 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 36.0976 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 38.48004 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 41.01973 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 43.72703 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 46.61301 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 49.68947 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 52.96897 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 56.46493 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 60.19161 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 64.16426 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 68.3991 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 72.91344 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 77.72573 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 82.85562 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 88.3241 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 94.15349 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 100.36762 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 106.99188 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 114.05334 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 121.58086 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 129.6052 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 138.15914 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 147.27765 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 156.99797 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 167.35984 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 178.40559 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 190.18036 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 202.73226 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 216.11259 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 230.37602 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 245.58084 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 261.78917 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 279.06726 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 297.4857 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 317.11975 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 338.04966 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 360.36093 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 384.14476 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 409.49831 100 80 120
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 436.5252 102 81 123
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 465.33004 120 96 144
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 495.97978 171 136 206
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 528.47968 356 284 428
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 562.4574 1371 1096 1646
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 594.8137 4800 3839 5761
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 615.43391 48000 38398 57602
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 459.52399 119 95 143
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 489.79436 139 111 167
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 521.99344 274 219 329
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 555.8395 1067 853 1281
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 588.94159 4800 3839 5761
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 609.35824 48000 38398 57602
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 454.98748 108 86 130
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 484.99239 148 118 178
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 516.84669 267 213 321
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 550.38315 873 698 1048
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 583.87213 1200 960 1440
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 96 618.12596 9600 7679 11521
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 384 618.12596 19200 17279 21121
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 384 599.1701 7680 6911 8449
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 384 603.80368 19200 17279 21121
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 384 585.28703 2560 2304 2816
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 384 599.80215 19200 17279 21121
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 384 581.40822 3200 2879 3521
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 384 594.58681 4800 4319 5281
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 384 604.89298 19200 17279 21121
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 384 586.34293 2560 2304 2816
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 384 600.88423 12800 11519 14081
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 384 595.27598 6400 5759 7041
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 384 602.41929 3840 3455 4225
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 384 614.78897 19200 17279 21121
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 384 595.93544 4267 3840 4694
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 384 607.32376 19200 17279 21121
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 384 588.69917 4800 4319 5281
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 384 598.90329 4267 3840 4694
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 384 610.34833 19200 17279 21121
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 384 591.63098 3840 3455 4225
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 384 603.77914 9600 8639 10561
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 1537 603.77914 10247 9734 10760
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 6146 603.77914 8780 8560 9000
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 6146 604.39298 8195 7990 8400
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 6146 605.30209 12292 11984 12600
100 100-99-97-98-96-94-92-95-91-88-90-79-85 200 200 6146 604.14596 9913 9665 10161
