data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 100-99-98-97-96-95-94 200 200 96 17.4 100 80 120
100 100-99-98-97-96-95-94 200 200 96 18.5484 100 80 120
100 100-99-98-97-96-95-94 200 200 96 19.77259 100 80 120
100 100-99-98-97-96-95-94 200 200 96 21.07759 100 80 120
100 100-99-98-97-96-95-94 200 200 96 22.46871 100 80 120
100 100-99-98-97-96-95-94 200 200 96 23.95164 100 80 120
100 100-99-98-97-96-95-94 200 200 96 25.53245 100 80 120
100 100-99-98-97-96-95-94 200 200 96 27.21759 100 80 120
100 100-99-98-97-96-95-94 200 200 96 29.01395 100 80 120
100 100-99-98-97-96-95-94 200 200 96 30.92887 100 80 120
100 100-99-98-97-96-95-94 200 200 96 32.97018 100 80 120
100 100-99-98-97-96-95-94 200 200 96 35.14621 100 80 120
100 100-99-98-97-96-95-94 200 200 96 37.46586 100 80 120
100 100-99-98-97-96-95-94 200 200 96 39.93861 100 80 120
100 100-99-98-97-96-95-94 200 200 96 42.57455 100 80 120
100 100-99-98-97-96-95-94 200 200 96 45.38448 100 80 120
100 100-99-98-97-96-95-94 200 200 96 48.37985 100 80 120
100 100-99-98-97-96-95-94 200 200 96 51.57292 100 80 120
100 100-99-98-97-96-95-94 200 200 96 54.97673 100 80 120
100 100-99-98-97-96-95-94 200 200 96 58.6052 100 80 120
100 100-99-98-97-96-95-94 200 200 96 62.47314 100 80 120
100 100-99-98-97-96-95-94 200 200 96 66.59637 100 80 120
100 100-99-98-97-96-95-94 200 200 96 70.99173 100 80 120
100 100-99-98-97-96-95-94 200 200 96 75.67718 100 80 120
100 100-99-98-97-96-95-94 200 200 96 80.67188 100 80 120
100 100-99-98-97-96-95-94 200 200 96 85.99622 100 80 120
100 100-99-98-97-96-95-94 200 200 96 91.67197 100 80 120
100 100-99-98-97-96-95-94 200 200 96 97.72232 100 80 120
100 100-99-98-97-96-95-94 200 200 96 104.17199 100 80 120
100 100-99-98-97-96-95-94 200 200 96 111.04735 100 80 120
100 100-99-98-97-96-95-94 200 200 96 118.37647 100 80 120
100 100-99-98-97-96-95-94 200 200 96 126.18932 100 80 120
100 100-99-98-97-96-95-94 200 200 96 134.51781 100 80 120
100 100-99-98-97-96-95-94 200 200 96 143.39599 100 80 120
100 100-99-98-97-96-95-94 200 200 96 152.86012 100 80 120
100 100-99-98-97-96-95-94 200 200 96 162.94889 100 80 120
100 100-99-98-97-96-95-94 200 200 96 173.70352 100 80 120
100 100-99-98-97-96-95-94 200 200 96 185.16795 100 80 120
100 100-99-98-97-96-95-94 200 200 96 197.38904 100 80 120
100 100-99-98-97-96-95-94 200 200 96 210.41671 100 80 120
100 100-99-98-97-96-95-94 200 200 96 224.30422 100 80 120
100 100-99-98-97-96-95-94 200 200 96 239.10829 100 80 120
100 100-99-98-97-96-95-94 200 200 96 254.88944 100 80 120
100 100-99-98-97-96-95-94 200 200 96 271.71214 100 80 120
100 100-99-98-97-96-95-94 200 200 96 289.64515 104 83 125
100 100-99-98-97-96-95-94 200 200 96 308.754 137 109 165
100 100-99-98-97-96-95-94 200 200 96 329.05561 157 125 189
100 100-99-98-97-96-95-94 200 200 96 350.64824 253 202 304
100 100-99-98-97-96-95-94 200 200 96 373.43336 640 512 768
100 100-99-98-97-96-95-94 200 200 96 396.7356 2400 1920 2880
100 100-99-98-97-96-95-94 200 200 96 416.83687 3200 2559 3841
100 100-99-98-97-96-95-94 200 200 96 435.73347 48000 38398 57602
100 100-99-98-97-96-95-94 200 200 96 325.34766 139 111 167
100 100-99-98-97-96-95-94 200 200 96 346.73602 246 196 296
100 100-99-98-97-96-95-94 200 200 96 369.2831 640 512 768
100 100-99-98-97-96-95-94 200 200 96 392.32637 800 640 960
100 100-99-98-97-96-95-94 200 200 96 416.38905 4800 3839 5761
100 100-99-98-97-96-95-94 200 200 96 430.82387 9600 7679 11521
100 100-99-98-97-96-95-94 200 200 384 430.82387 38400 34559 42241
100 100-99-98-97-96-95-94 200 200 384 390.03921 1371 1233 1509
100 100-99-98-97-96-95-94 200 200 384 401.25804 1600 1440 1760
100 100-99-98-97-96-95-94 200 200 384 412.49327 7680 6911 8449
100 100-99-98-97-96-95-94 200 200 384 415.68321 9600 8639 10561
100 100-99-98-97-96-95-94 200 200 1537 415.68321 6404 6083 6725
100 100-99-98-97-96-95-94 200 200 1537 418.17454 6404 6083 6725
100 100-99-98-97-96-95-94 200 200 1537 420.6808 6404 6083 6725
100 100-99-98-97-96-95-94 200 200 1537 423.20208 10247 9734 10760
100 100-99-98-97-96-95-94 200 200 6146 423.20208 9455 9218 9692
100 100-99-98-97-96-95-94 200 200 6146 423.39429 10243 9986 10500
