data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
20 20-19-18-17 40 200 96 13.8 100 80 120
20 20-19-18-17 40 200 96 14.7108 100 80 120
20 20-19-18-17 40 200 96 15.68171 100 80 120
20 20-19-18-17 40 200 96 16.71671 100 80 120
20 20-19-18-17 40 200 96 17.82001 100 80 120
20 20-19-18-17 40 200 96 18.99613 100 80 120
20 20-19-18-17 40 200 96 20.24987 100 80 120
20 20-19-18-17 40 200 96 21.58637 100 80 120
20 20-19-18-17 40 200 96 23.01107 100 80 120
20 20-19-18-17 40 200 96 24.5298 104 83 125
20 20-19-18-17 40 200 96 26.14811 100 80 120
20 20-19-18-17 40 200 96 27.87388 102 81 123
20 20-19-18-17 40 200 96 29.71319 105 84 126
20 20-19-18-17 40 200 96 31.67327 110 88 132
20 20-19-18-17 40 200 96 33.76159 117 93 141
20 20-19-18-17 40 200 96 35.98603 123 98 148
20 20-19-18-17 40 200 96 38.35559 128 102 154
20 20-19-18-17 40 200 96 40.8799 152 121 183
20 20-19-18-17 40 200 96 43.5638 166 132 200
20 20-19-18-17 40 200 96 46.41984 218 174 262
20 20-19-18-17 40 200 96 49.44704 267 213 321
20 20-19-18-17 40 200 96 52.65549 436 348 524
20 20-19-18-17 40 200 96 56.0128 640 512 768
20 20-19-18-17 40 200 96 59.508 686 548 824
20 20-19-18-17 40 200 96 63.20305 1371 1096 1646
20 20-19-18-17 40 200 96 66.83892 1600 1280 1920
20 20-19-18-17 40 200 96 70.58189 4800 3839 5761
20 20-19-18-17 40 200 96 73.02873 3200 2559 3841
20 20-19-18-17 40 200 96 76.33937 3200 2559 3841
20 20-19-18-17 40 200 96 79.80009 9600 7679 11521
20 20-19-18-17 40 200 384 79.80009 9600 8639 10561
20 20-19-18-17 40 200 1537 79.80009 21957 20859 23055
20 20-19-18-17 40 200 1537 78.2098 21957 20859 23055
20 20-19-18-17 40 200 1537 76.65121 9606 9125 10087
20 20-19-18-17 40 200 6146 76.65121 12051 11749 12353
20 20-19-18-17 40 200 6146 76.5202 10075 9823 10327
