data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 1-2 200 200 96 11.4 533 426 640
100 1-2 200 200 96 12.11949 600 480 720
100 1-2 200 200 96 12.87898 960 768 1152
100 1-2 200 200 96 13.65515 1600 1280 1920
100 1-2 200 200 96 14.41984 1200 960 1440
100 1-2 200 200 96 15.26581 4800 3839 5761
100 1-2 200 200 96 15.79502 48000 38398 57602
100 1-2 200 200 96 11.79362 600 480 720
100 1-2 200 200 96 12.53268 873 698 1048
100 1-2 200 200 96 13.29525 1920 1536 2304
100 1-2 200 200 96 14.01142 1920 1536 2304
100 1-2 200 200 96 14.76617 2400 1920 2880
100 1-2 200 200 96 15.51433 4800 3839 5761
100 1-2 200 200 96 16.05216 9600 7679 11521
100 1-2 200 200 384 16.05216 6400 5759 7041
100 1-2 200 200 384 16.24478 9600 8639 10561
100 1-2 200 200 1537 16.24478 8089 7684 8494
100 1-2 200 200 1537 16.29652 10247 9734 10760
100 1-2 200 200 6146 16.29652 6680 6513 6847
100 1-2 200 200 6146 16.34161 6085 5932 6238
100 1-2 200 200 6146 16.39492 7879 7682 8076
100 1-2 200 200 6146 16.4239 7588 7398 7778
100 1-2 200 200 6146 16.45691 6609 6443 6775
100 1-2 200 200 6146 16.50342 6336 6177 6495
100 1-2 200 200 6146 16.55381 8419 8208 8630
100 1-2 200 200 6146 16.57562 8419 8208 8630
100 1-2 200 200 6146 16.59746 10975 10700 11250
100 1-2 200 200 6146 16.58397 9173 8943 9403
100 1-2 200 200 6146 16.5954 6609 6443 6775
100 1-2 200 200 6146 16.6423 8305 8097 8513
100 1-2 200 200 6146 16.6658 8305 8097 8513
100 1-2 200 200 6146 16.68934 9038 8812 9264
100 1-2 200 200 6146 16.70272 8536 8322 8750
100 1-2 200 200 6146 16.7231 9455 9218 9692
100 1-2 200 200 6146 16.7307 8419 8208 8630
100 1-2 200 200 6146 16.75274 9603 9362 9844
100 1-2 200 200 6146 16.75828 9038 8812 9264
100 1-2 200 200 6146 16.77172 10597 10332 10862
