data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 100-97-98-96-99-95 200 200 96 16.2 100 80 120
100 100-97-98-96-99-95 200 200 96 17.2692 100 80 120
100 100-97-98-96-99-95 200 200 96 18.40897 100 80 120
100 100-97-98-96-99-95 200 200 96 19.62396 100 80 120
100 100-97-98-96-99-95 200 200 96 20.91914 100 80 120
100 100-97-98-96-99-95 200 200 96 22.2998 100 80 120
100 100-97-98-96-99-95 200 200 96 23.77159 100 80 120
100 100-97-98-96-99-95 200 200 96 25.34052 100 80 120
100 100-97-98-96-99-95 200 200 96 27.01299 100 80 120
100 100-97-98-96-99-95 200 200 96 28.79585 100 80 120
100 100-97-98-96-99-95 200 200 96 30.69637 100 80 120
100 100-97-98-96-99-95 200 200 96 32.72233 100 80 120
100 100-97-98-96-99-95 200 200 96 34.88201 100 80 120
100 100-97-98-96-99-95 200 200 96 37.18422 100 80 120
100 100-97-98-96-99-95 200 200 96 39.63838 100 80 120
100 100-97-98-96-99-95 200 200 96 42.25451 100 80 120
100 100-97-98-96-99-95 200 200 96 45.04331 100 80 120
100 100-97-98-96-99-95 200 200 96 48.01617 100 80 120
100 100-97-98-96-99-95 200 200 96 51.18523 100 80 120
100 100-97-98-96-99-95 200 200 96 54.56346 100 80 120
100 100-97-98-96-99-95 200 200 96 58.16465 100 80 120
100 100-97-98-96-99-95 200 200 96 62.00352 100 80 120
100 100-97-98-96-99-95 200 200 96 66.09575 100 80 120
100 100-97-98-96-99-95 200 200 96 70.45807 100 80 120
100 100-97-98-96-99-95 200 200 96 75.1083 100 80 120
100 100-97-98-96-99-95 200 200 96 80.06545 100 80 120
100 100-97-98-96-99-95 200 200 96 85.34977 100 80 120
100 100-97-98-96-99-95 200 200 96 90.98285 100 80 120
100 100-97-98-96-99-95 200 200 96 96.98772 100 80 120
100 100-97-98-96-99-95 200 200 96 103.38891 100 80 120
100 100-97-98-96-99-95 200 200 96 110.21258 100 80 120
100 100-97-98-96-99-95 200 200 96 117.48661 100 80 120
100 100-97-98-96-99-95 200 200 96 125.24072 100 80 120
100 100-97-98-96-99-95 200 200 96 133.50661 100 80 120
100 100-97-98-96-99-95 200 200 96 142.31805 102 81 123
100 100-97-98-96-99-95 200 200 96 151.70914 102 81 123
100 100-97-98-96-99-95 200 200 96 161.71992 102 81 123
100 100-97-98-96-99-95 200 200 96 172.39128 107 85 129
100 100-97-98-96-99-95 200 200 96 183.76106 128 102 154
100 100-97-98-96-99-95 200 200 96 195.85499 145 116 174
100 100-97-98-96-99-95 200 200 96 208.72266 168 134 202
100 100-97-98-96-99-95 200 200 96 222.40373 246 196 296
100 100-97-98-96-99-95 200 200 96 236.86591 1067 853 1281
100 100-97-98-96-99-95 200 200 96 250.97206 1371 1096 1646
100 100-97-98-96-99-95 200 200 96 265.40965 1600 1280 1920
100 100-97-98-96-99-95 200 200 96 280.27259 48000 38398 57602
100 100-97-98-96-99-95 200 200 96 209.2702 200 160 240
100 100-97-98-96-99-95 200 200 96 222.94252 240 192 288
100 100-97-98-96-99-95 200 200 96 237.44864 800 640 960
100 100-97-98-96-99-95 200 200 96 252.01216 1200 960 1440
100 100-97-98-96-99-95 200 200 96 266.79688 2400 1920 2880
100 100-97-98-96-99-95 200 200 96 280.31458 4800 3839 5761
100 100-97-98-96-99-95 200 200 96 290.03216 9600 7679 11521
100 100-97-98-96-99-95 200 200 384 290.03216 9600 8639 10561
100 100-97-98-96-99-95 200 200 1537 290.03216 25617 24336 26898
100 100-97-98-96-99-95 200 200 1537 282.4831 25617 24336 26898
100 100-97-98-96-99-95 200 200 1537 275.13054 6148 5840 6456
100 100-97-98-96-99-95 200 200 1537 276.89688 12808 12167 13449
100 100-97-98-96-99-95 200 200 1537 275.601 11823 11231 12415
100 100-97-98-96-99-95 200 200 1537 274.76363 6986 6636 7336
100 100-97-98-96-99-95 200 200 1537 276.14386 8539 8112 8966
100 100-97-98-96-99-95 200 200 1537 276.81627 12808 12167 13449
100 100-97-98-96-99-95 200 200 1537 275.52077 6404 6083 6725
100 100-97-98-96-99-95 200 200 1537 277.17206 9606 9125 10087
100 100-97-98-96-99-95 200 200 6146 277.17206 8907 8684 9130
100 100-97-98-96-99-95 200 200 6146 277.42452 8656 8439 8873
100 100-97-98-96-99-95 200 200 6146 277.73523 7780 7585 7975
100 100-97-98-96-99-95 200 200 6146 278.24904 8305 8097 8513
100 100-97-98-96-99-95 200 200 6146 278.64207 9603 9362 9844
100 100-97-98-96-99-95 200 200 6146 278.73425 11596 11306 11886
100 100-97-98-96-99-95 200 200 6146 278.36354 8536 8322 8750
100 100-97-98-96-99-95 200 200 6146 278.70314 9913 9665 10161
