data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
20 1 40 200 96 10.2 2400 1920 2880
20 1 40 200 96 10.7168 9600 7679 11521
20 1 40 200 384 10.7168 3840 3455 4225
20 1 40 200 384 10.93685 6400 5759 7041
20 1 40 200 384 11.06809 7680 6911 8449
20 1 40 200 384 11.15369 6400 5759 7041
20 1 40 200 384 11.28753 7680 6911 8449
20 1 40 200 384 11.37482 9600 8639 10561
20 1 40 200 1537 11.37482 7319 6953 7685
20 1 40 200 1537 11.42565 5693 5408 5978
20 1 40 200 1537 11.50767 10247 9734 10760
20 1 40 200 6146 11.50767 7879 7682 8076
20 1 40 200 6146 11.528 10075 9823 10327
