data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 22.2 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 23.6652 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 25.2271 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 26.89209 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 28.66697 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 30.55899 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 32.57588 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 34.72589 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 37.0178 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 39.46098 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 42.0654 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 44.84172 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 47.80127 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 50.95615 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 54.31926 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 57.90433 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 61.72602 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 65.79993 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 70.14273 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 74.77215 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 79.70711 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 84.96778 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 90.57565 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 96.55365 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 102.92619 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 109.71932 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 116.96079 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 124.6802 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 132.9091 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 141.6811 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 151.03205 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 161.00016 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 171.62618 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 182.9535 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 195.02843 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 207.90031 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 221.62173 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 236.24877 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 251.84118 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 268.4627 100 80 120
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 286.18124 103 82 124
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 305.06348 103 82 124
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 325.19157 112 89 135
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 346.6282 155 124 186
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 369.37856 209 167 251
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 393.48913 436 348 524
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 418.578 800 640 960
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 444.25078 2400 1920 2880
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 466.75949 48000 38398 57602
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 348.51375 148 118 178
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 371.40413 253 202 304
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 395.53797 457 365 549
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 420.7021 960 768 1152
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 446.05641 3200 2559 3841
100 96-95-98-97-99-94-100-92-93-91-90 200 200 96 466.27764 9600 7679 11521
100 96-95-98-97-99-94-100-92-93-91-90 200 200 384 466.27764 38400 34559 42241
100 96-95-98-97-99-94-100-92-93-91-90 200 200 384 422.13669 1670 1503 1837
100 96-95-98-97-99-94-100-92-93-91-90 200 200 384 433.85802 2560 2304 2816
100 96-95-98-97-99-94-100-92-93-91-90 200 200 384 444.61769 5486 4937 6035
100 96-95-98-97-99-94-100-92-93-91-90 200 200 384 451.30771 12800 11519 14081
100 96-95-98-97-99-94-100-92-93-91-90 200 200 384 447.0955 7680 6911 8449
100 96-95-98-97-99-94-100-92-93-91-90 200 200 384 450.55304 4800 4319 5281
100 96-95-98-97-99-94-100-92-93-91-90 200 200 384 458.36263 38400 34559 42241
100 96-95-98-97-99-94-100-92-93-91-90 200 200 384 414.97097 985 886 1084
100 96-95-98-97-99-94-100-92-93-91-90 200 200 384 427.44084 2400 2160 2640
100 96-95-98-97-99-94-100-92-93-91-90 200 200 384 438.26934 9600 8639 10561
100 96-95-98-97-99-94-100-92-93-91-90 200 200 1537 438.26934 4658 4425 4891
100 96-95-98-97-99-94-100-92-93-91-90 200 200 1537 442.1714 5123 4866 5380
100 96-95-98-97-99-94-100-92-93-91-90 200 200 1537 445.76552 6683 6348 7018
100 96-95-98-97-99-94-100-92-93-91-90 200 200 1537 448.22986 5693 5408 5978
100 96-95-98-97-99-94-100-92-93-91-90 200 200 1537 451.4474 7685 7300 8070
100 96-95-98-97-99-94-100-92-93-91-90 200 200 1537 453.18924 10247 9734 10760
100 96-95-98-97-99-94-100-92-93-91-90 200 200 6146 453.18924 8907 8684 9130
100 96-95-98-97-99-94-100-92-93-91-90 200 200 6146 453.60202 8656 8439 8873
100 96-95-98-97-99-94-100-92-93-91-90 200 200 6146 454.11005 10782 10512 11052
100 96-95-98-97-99-94-100-92-93-91-90 200 200 6146 453.81412 9312 9079 9545
