data_dim p0 n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 0.03 300 200 96 30 5053 4042 6064
100 0.03 300 200 96 30.56968 6000 4799 7201
100 0.03 300 200 96 31.14439 19200 15359 23041
100 0.03 300 200 96 31.64769 12000 9599 14401
100 0.03 300 200 96 32.20468 32000 25598 38402
100 0.03 300 200 96 32.64267 96000 76796 115204
100 0.03 300 200 384 32.64267 27429 24685 30173
100 0.03 300 200 384 32.87956 24000 21599 26401
100 0.03 300 200 384 33.12944 25600 23039 28161
100 0.03 300 200 384 33.37593 42667 38399 46935
100 0.03 300 200 384 33.56728 128000 115197 140803
100 0.03 300 200 384 33.47329 54857 49370 60344
100 0.03 300 200 384 33.6244 76800 69118 84482
100 0.03 300 200 384 33.70241 96000 86398 105602
100 0.03 300 200 1537 33.70241 49581 47102 52060
100 0.03 300 200 1537 33.78737 43914 41718 46110
100 0.03 300 200 1537 33.88212 73190 69531 76849
100 0.03 300 200 1537 33.92754 90412 85892 94932
100 0.03 300 200 1537 33.94381 51233 48671 53795
100 0.03 300 200 1537 34.02657 59115 56159 62071
100 0.03 300 200 1537 34.09613 76850 73008 80692
100 0.03 300 200 1537 34.1356 96062 91259 100865
100 0.03 300 200 6146 34.1356 66804 65133 68475
100 0.03 300 200 6146 34.16393 105966 103316 108616
100 0.03 300 200 6146 34.15883 69841 68094 71588
100 0.03 300 200 6146 34.18459 87800 85604 89996
100 0.03 300 200 6146 34.19501 71465 69678 73252
