data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 1:2 300 200 96 11.4 1116 892 1340
100 1:2 300 200 96 12.15152 1548 1238 1858
100 1:2 300 200 96 12.94908 2043 1634 2452
100 1:2 300 200 96 13.79471 3556 2844 4268
100 1:2 300 200 96 14.68166 6000 4799 7201
100 1:2 300 200 96 15.60171 5647 4517 6777
100 1:2 300 200 96 16.58309 24000 19199 28801
100 1:2 300 200 96 17.4233 16000 12799 19201
100 1:2 300 200 96 18.399 48000 38398 57602
100 1:2 300 200 96 19.03684 96000 76796 115204
100 1:2 300 200 384 19.03684 54857 49370 60344
100 1:2 300 200 384 19.3233 96000 86398 105602
100 1:2 300 200 1537 19.3233 153700 146016 161384
100 1:2 300 200 1537 19.15035 80895 76850 84940
100 1:2 300 200 1537 19.21133 64042 60840 67244
100 1:2 300 200 1537 19.32646 76850 73008 80692
100 1:2 300 200 1537 19.40103 90412 85892 94932
100 1:2 300 200 1537 19.43203 76850 73008 80692
100 1:2 300 200 1537 19.50701 80895 76850 84940
100 1:2 300 200 1537 19.56912 69864 66371 73357
100 1:2 300 200 1537 19.66741 170778 162240 179316
100 1:2 300 200 1537 19.43541 80895 76850 84940
100 1:2 300 200 1537 19.49729 80895 76850 84940
100 1:2 300 200 1537 19.55938 170778 162240 179316
100 1:2 300 200 1537 19.32865 90412 85892 94932
100 1:2 300 200 1537 19.35954 64042 60840 67244
100 1:2 300 200 1537 19.47556 69864 66371 73357
100 1:2 300 200 1537 19.57338 90412 85892 94932
100 1:2 300 200 1537 19.60465 69864 66371 73357
100 1:2 300 200 1537 19.70312 69864 66371 73357
100 1:2 300 200 1537 19.80208 102467 97344 107590
100 1:2 300 200 6146 19.80208 90382 88122 92642
100 1:2 300 200 6146 19.81796 97556 95117 99995
100 1:2 300 200 6146 19.82199 118192 115237 121147
100 1:2 300 200 6146 19.79194 93121 90792 95450
100 1:2 300 200 6146 19.80329 170722 166453 174991
