data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 96:97:98:99:100 300 200 96 15 1000 800 1200
100 96:97:98:99:100 300 200 96 15.99 1000 800 1200
100 96:97:98:99:100 300 200 96 17.04534 1000 800 1200
100 96:97:98:99:100 300 200 96 18.17033 1000 800 1200
100 96:97:98:99:100 300 200 96 19.36957 1000 800 1200
100 96:97:98:99:100 300 200 96 20.64797 1000 800 1200
100 96:97:98:99:100 300 200 96 22.01073 1000 800 1200
100 96:97:98:99:100 300 200 96 23.46344 1000 800 1200
100 96:97:98:99:100 300 200 96 25.01203 1000 800 1200
100 96:97:98:99:100 300 200 96 26.66282 1000 800 1200
100 96:97:98:99:100 300 200 96 28.42257 1000 800 1200
100 96:97:98:99:100 300 200 96 30.29846 1000 800 1200
100 96:97:98:99:100 300 200 96 32.29816 1000 800 1200
100 96:97:98:99:100 300 200 96 34.42983 1000 800 1200
100 96:97:98:99:100 300 200 96 36.7022 1000 800 1200
100 96:97:98:99:100 300 200 96 39.12455 1000 800 1200
100 96:97:98:99:100 300 200 96 41.70677 1000 800 1200
100 96:97:98:99:100 300 200 96 44.45941 1000 800 1200
100 96:97:98:99:100 300 200 96 47.39374 1000 800 1200
100 96:97:98:99:100 300 200 96 50.52172 1000 800 1200
100 96:97:98:99:100 300 200 96 53.85616 1000 800 1200
100 96:97:98:99:100 300 200 96 57.41066 1000 800 1200
100 96:97:98:99:100 300 200 96 61.19977 1000 800 1200
100 96:97:98:99:100 300 200 96 65.23895 1000 800 1200
100 96:97:98:99:100 300 200 96 69.54472 1000 800 1200
100 96:97:98:99:100 300 200 96 74.13467 1032 825 1239
100 96:97:98:99:100 300 200 96 79.02598 1000 800 1200
100 96:97:98:99:100 300 200 96 84.24169 1067 853 1281
100 96:97:98:99:100 300 200 96 89.79788 1157 925 1389
100 96:97:98:99:100 300 200 96 95.71515 1412 1129 1695
100 96:97:98:99:100 300 200 96 102.00605 1745 1396 2094
100 96:97:98:99:100 300 200 96 108.68779 2182 1745 2619
100 96:97:98:99:100 300 200 96 115.77554 3200 2559 3841
100 96:97:98:99:100 300 200 96 123.24692 7385 5907 8863
100 96:97:98:99:100 300 200 96 130.8566 9600 7679 11521
100 96:97:98:99:100 300 200 96 138.74289 48000 38398 57602
100 96:97:98:99:100 300 200 96 143.55264 96000 76796 115204
100 96:97:98:99:100 300 200 384 143.55264 34909 31417 38401
100 96:97:98:99:100 300 200 384 146.6673 48000 43199 52801
100 96:97:98:99:100 300 200 384 149.20954 192000 172796 211204
100 96:97:98:99:100 300 200 384 144.63378 34909 31417 38401
100 96:97:98:99:100 300 200 384 147.7719 96000 86398 105602
100 96:97:98:99:100 300 200 1537 147.7719 80895 76850 84940
100 96:97:98:99:100 300 200 1537 148.24243 102467 97344 107590
100 96:97:98:99:100 300 200 6146 148.24243 73167 71337 74997
100 96:97:98:99:100 300 200 6146 148.57391 66086 64433 67739
100 96:97:98:99:100 300 200 6146 148.9938 81947 79898 83996
100 96:97:98:99:100 300 200 6146 149.21795 85361 83226 87496
100 96:97:98:99:100 300 200 6146 149.39999 74951 73077 76825
