data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 96 33 1000 800 1200
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 96 35.178 1000 800 1200
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 96 37.49975 1000 800 1200
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 96 39.97473 1000 800 1200
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 96 42.61306 1000 800 1200
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 96 45.42553 1000 800 1200
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 96 48.42361 1000 800 1200
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 96 51.61957 1000 800 1200
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 96 55.02646 1000 800 1200
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 96 58.65821 1000 800 1200
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 96 62.52965 1000 800 1200
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 96 66.65661 1000 800 1200
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 96 71.05594 1103 882 1324
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 96 75.74075 1200 960 1440
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 96 80.72955 1477 1181 1773
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 96 86.03202 1959 1567 2351
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 96 91.65513 6400 5119 7681
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 96 97.37441 6000 4799 7201
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 96 103.47654 32000 25598 38402
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 96 108.16748 48000 38398 57602
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 96 111.91729 96000 76796 115204
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 384 111.91729 76800 69118 84482
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 384 112.78278 96000 86398 105602
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 1537 112.78278 96062 91259 100865
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 6146 112.78278 93121 90792 95450
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 6146 112.84743 130766 127496 134036
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 6146 112.55811 111745 108951 114539
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 6146 112.44794 118192 115237 121147
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 6146 112.27747 139682 136189 143175
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 6146 111.90619 113815 110969 116661
100 1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 300 200 6146 111.77736 102433 99872 104994
