data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 100:99:98:96:93:95:94:97:90:92 300 200 96 21 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 22.386 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 23.86348 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 25.43847 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 27.1174 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 28.90715 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 30.81502 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 32.84882 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 35.01684 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 37.32795 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 39.79159 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 42.41784 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 45.21742 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 48.20177 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 51.38308 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 54.77437 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 58.38947 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 62.24318 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 66.35123 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 70.73041 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 75.39862 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 80.37493 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 85.67967 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 91.33453 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 97.36261 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 103.78854 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 110.63859 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 117.94073 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 125.72482 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 134.02266 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 142.86815 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 152.29745 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 162.34908 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 173.06412 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 184.48636 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 196.66246 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 209.64218 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 223.47856 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 238.22815 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 253.9512 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 270.71198 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 288.57898 1000 800 1200
100 100:99:98:96:93:95:94:97:90:92 300 200 96 307.62519 1011 808 1214
100 100:99:98:96:93:95:94:97:90:92 300 200 96 327.92619 1032 825 1239
100 100:99:98:96:93:95:94:97:90:92 300 200 96 349.56233 1171 936 1406
100 100:99:98:96:93:95:94:97:90:92 300 200 96 372.59359 1548 1238 1858
100 100:99:98:96:93:95:94:97:90:92 300 200 96 397.04865 3556 2844 4268
100 100:99:98:96:93:95:94:97:90:92 300 200 96 422.57729 10667 8533 12801
100 100:99:98:96:93:95:94:97:90:92 300 200 96 447.74402 32000 25598 38402
100 100:99:98:96:93:95:94:97:90:92 300 200 96 468.04175 96000 76796 115204
100 100:99:98:96:93:95:94:97:90:92 300 200 384 468.04175 384000 345592 422408
100 100:99:98:96:93:95:94:97:90:92 300 200 384 423.73379 12387 11148 13626
100 100:99:98:96:93:95:94:97:90:92 300 200 384 436.10866 22588 20328 24848
