axes threshold
1 15.53
100 43.87
1:2 19.80
99:100 72.39
1:2:3 22.90
98:99:100 99.96
100:99:98:97 124.35
1:2:3:4:5 29.05
96:97:98:99:100 149.30
99:97:98:100:96:95:94 199.41
100:99:98:97:96:95:94:93 222.00
1:2:3:4:5:6:7:8:9:10 39.61
91:92:93:94:95:96:97:98:99:100 274.42
99:97:98:100:96:95:94:93:89:92 271.00
100:99:98:97:96:95:94:93:92:90 273.00
99:97:98:100:96:95:94:93:89:92:91 295.64
1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 73.80
81:82:83:84:85:86:87:88:89:90:91:92:93:94:95:96:97:98:99:100 478.00










