axes threshold
1 16.18
100 47.48
1:2 25.34
99:100 87.42
1:2:3 34.06
98:99:100 149.32
1:2:3:4:5 49.56
96:97:98:99:100 252.61
100:99:98:96:95 245.56
100:99:98:96:93:95 286.37
100:99:96:98:97:94:95:93:90 416.08
100:99:98:93:94:92:90:95 353.46
100:99:98:96:93:95:94:97:90:92 453.93
1:2:3:4:5:6:7:8:9:10 79.12
91:92:93:94:95:96:97:98:99:100 455.92
100:99:98:96:95:93:92:97:94:90:91 489.24
100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86 542.65
100:99:96:98:97:94:95:93:90:92:88:89:91:86:84:85:76 628.21
100:99:98:96:95:93:92:97:94:90:91:88:89:81:87:83:84:86 680.54
1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 111.78
100:99:98:93:94:92:90:95:96:97:69:57:32:80:84:86:88:66:71:74 610.89
100:99:98:96:95:93:92:97:94:90:91:88:89:81:87:83:84:86:64:67 698.03
100:99:98:96:93:95:94:97:90:92:88:85:89:83:84:73:86:71:74:87 691.77
100:99:96:98:97:94:95:93:90:92:88:89:91:86:84:85:76:74:80:87 713.64
81:82:83:84:85:86:87:88:89:90:91:92:93:94:95:96:97:98:99:100 730.35



