axes threshold
1 15.25
100 43.90
1:2 19.70
99:100 72.95
1:2:3 24.24
98:99:100 100.77
100:95:99 99.26
100:98:37 74.20
100:99:98:97 124.60
1:2:3:4:5 32.00
96:97:98:99:100 150.00
100:98:37:38:50:79:97 133.70
100:95:99:35:54:55:60:66 135.48
100:99:98:97:96:56:64:73 187.74
1:2:3:4:5:6:7:8:9:10 49.20
91:92:93:94:95:96:97:98:99:100 287.16
100:99:98:97:96:43:48:56:63:66 186.40
100:95:99:35:54:55:60:66:68:69:94:97 219.40
100:99:98:97:96:43:48:56:63:66:69:92:93:94 289.87
1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20 71.80
81:82:83:84:85:86:87:88:89:90:91:92:93:94:95:96:97:98:99:100 544.00

