axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 51.16577
1-2-3-4-5-6-7-8-9-10 37.79347
1-2-3-4-5 27.1075
1-2-3 21.0342
1-2 17.45652
1 13.20014
100 66.07211
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 733.72991
91-92-93-94-95-96-97-98-99-100 427.777
96-97-98-99-100 232.30617
97-98-96-99-95-100-94-93-92-91-89-90-88 530.20998
97-98-96-99-95-100-94-93-92-91-89-90 496.55659
97-98-96-99-95-100-94-93-92-91-89 460.15799
97-98-96-99-95-100-94-93 360.42347
97-98-96-99-95-100 272.48622
97-98-96-99-95 232.76181
98-99-100 152.98204
99-100 110.49137
