data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 22.2 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 23.6652 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 25.2271 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 26.89209 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 28.66697 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 30.55899 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 32.57588 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 34.72589 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 37.0178 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 39.46098 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 42.0654 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 44.84172 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 47.80127 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 50.95615 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 54.31926 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 57.90433 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 61.72602 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 65.79993 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 70.14273 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 74.77215 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 79.70711 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 84.96778 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 90.57565 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 96.55365 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 102.92619 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 109.71932 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 116.96079 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 124.6802 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 132.9091 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 141.6811 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 151.03205 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 161.00016 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 171.62618 1000 800 1200
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 182.9535 1021 816 1226
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 195.02587 1091 872 1310
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 207.88575 1263 1010 1516
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 221.56976 1714 1371 2057
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 236.0879 2043 1634 2452
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 251.50554 5333 4266 6400
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 267.37839 5053 4042 6064
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 284.3029 48000 38398 57602
100 99:97:98:100:96:95:94:93:89:92:91 300 200 96 294.15874 96000 76796 115204
100 99:97:98:100:96:95:94:93:89:92:91 300 200 384 294.15874 128000 115197 140803
100 99:97:98:100:96:95:94:93:89:92:91 300 200 384 291.41326 42667 38399 46935
100 99:97:98:100:96:95:94:93:89:92:91 300 200 384 296.98246 128000 115197 140803
100 99:97:98:100:96:95:94:93:89:92:91 300 200 384 294.21062 54857 49370 60344
100 99:97:98:100:96:95:94:93:89:92:91 300 200 384 298.6378 192000 172796 211204
100 99:97:98:100:96:95:94:93:89:92:91 300 200 384 289.47958 96000 86398 105602
100 99:97:98:100:96:95:94:93:89:92:91 300 200 1537 289.47958 49581 47102 52060
100 99:97:98:100:96:95:94:93:89:92:91 300 200 1537 291.91212 80895 76850 84940
100 99:97:98:100:96:95:94:93:89:92:91 300 200 1537 292.84162 85389 81120 89658
100 99:97:98:100:96:95:94:93:89:92:91 300 200 1537 293.55474 192125 182520 201730
100 99:97:98:100:96:95:94:93:89:92:91 300 200 1537 289.04745 66826 63485 70167
100 99:97:98:100:96:95:94:93:89:92:91 300 200 1537 290.64559 76850 73008 80692
100 99:97:98:100:96:95:94:93:89:92:91 300 200 1537 291.767 80895 76850 84940
100 99:97:98:100:96:95:94:93:89:92:91 300 200 1537 292.69603 69864 66371 73357
100 99:97:98:100:96:95:94:93:89:92:91 300 200 1537 294.16615 69864 66371 73357
100 99:97:98:100:96:95:94:93:89:92:91 300 200 1537 295.64365 102467 97344 107590
100 99:97:98:100:96:95:94:93:89:92:91 300 200 6146 295.64365 100754 98235 103273
