data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 100:99:98:97:96:95:94:93 300 200 96 18.6 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 19.8276 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 21.13622 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 22.53121 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 24.01827 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 25.60348 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 27.29331 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 29.09467 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 31.01491 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 33.0619 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 35.24398 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 37.57009 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 40.04971 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 42.69299 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 45.51073 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 48.51444 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 51.71639 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 55.12967 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 58.76823 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 62.64694 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 66.78163 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 71.18922 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 75.88771 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 80.8963 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 86.23545 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 91.92699 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 97.99418 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 104.46179 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 111.35627 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 118.70578 1000 800 1200
100 100:99:98:97:96:95:94:93 300 200 96 126.54037 1021 816 1226
100 100:99:98:97:96:95:94:93 300 200 96 134.89026 1055 844 1266
100 100:99:98:97:96:95:94:93 300 200 96 143.78807 1116 892 1340
100 100:99:98:97:96:95:94:93 300 200 96 153.26696 1171 936 1406
100 100:99:98:97:96:95:94:93 300 200 96 163.36511 1745 1396 2094
100 100:99:98:97:96:95:94:93 300 200 96 174.06607 2286 1828 2744
100 100:99:98:97:96:95:94:93 300 200 96 185.4052 4571 3656 5486
100 100:99:98:97:96:95:94:93 300 200 96 197.20055 8000 6399 9601
100 100:99:98:97:96:95:94:93 300 200 96 209.29552 16000 12799 19201
100 100:99:98:97:96:95:94:93 300 200 96 221.01607 32000 25598 38402
100 100:99:98:97:96:95:94:93 300 200 96 231.03546 96000 76796 115204
100 100:99:98:97:96:95:94:93 300 200 384 231.03546 384000 345592 422408
100 100:99:98:97:96:95:94:93 300 200 384 209.16411 22588 20328 24848
100 100:99:98:97:96:95:94:93 300 200 384 214.56138 42667 38399 46935
100 100:99:98:97:96:95:94:93 300 200 384 218.66186 64000 57598 70402
100 100:99:98:97:96:95:94:93 300 200 384 221.2858 64000 57598 70402
100 100:99:98:97:96:95:94:93 300 200 384 223.94123 64000 57598 70402
100 100:99:98:97:96:95:94:93 300 200 384 226.62853 128000 115197 140803
100 100:99:98:97:96:95:94:93 300 200 384 224.51333 384000 345592 422408
100 100:99:98:97:96:95:94:93 300 200 384 203.2594 15360 13823 16897
100 100:99:98:97:96:95:94:93 300 200 384 208.99402 34909 31417 38401
100 100:99:98:97:96:95:94:93 300 200 384 213.52857 42667 38399 46935
100 100:99:98:97:96:95:94:93 300 200 384 217.60931 128000 115197 140803
100 100:99:98:97:96:95:94:93 300 200 384 215.57829 96000 86398 105602
100 100:99:98:97:96:95:94:93 300 200 1537 215.57829 39410 37439 41381
100 100:99:98:97:96:95:94:93 300 200 1537 217.75527 128083 121679 134487
100 100:99:98:97:96:95:94:93 300 200 1537 216.73607 48031 45629 50433
100 100:99:98:97:96:95:94:93 300 200 1537 218.61333 66826 63485 70167
100 100:99:98:97:96:95:94:93 300 200 1537 219.82204 69864 66371 73357
100 100:99:98:97:96:95:94:93 300 200 1537 220.92613 73190 69531 76849
100 100:99:98:97:96:95:94:93 300 200 1537 221.9133 96062 91259 100865
100 100:99:98:97:96:95:94:93 300 200 6146 221.9133 93121 90792 95450
100 100:99:98:97:96:95:94:93 300 200 6146 222.04052 111745 108951 114539
100 100:99:98:97:96:95:94:93 300 200 6146 221.82319 93121 90792 95450
100 100:99:98:97:96:95:94:93 300 200 6146 221.95035 91731 89437 94025
100 100:99:98:97:96:95:94:93 300 200 6146 222.1033 83054 80977 85131
