data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 100:98:37:38:50:79:97 300 200 96 17.4 1000 800 1200
100 100:98:37:38:50:79:97 300 200 96 18.5484 1000 800 1200
100 100:98:37:38:50:79:97 300 200 96 19.77259 1000 800 1200
100 100:98:37:38:50:79:97 300 200 96 21.07759 1000 800 1200
100 100:98:37:38:50:79:97 300 200 96 22.46871 1000 800 1200
100 100:98:37:38:50:79:97 300 200 96 23.95164 1000 800 1200
100 100:98:37:38:50:79:97 300 200 96 25.53245 1000 800 1200
100 100:98:37:38:50:79:97 300 200 96 27.21759 1000 800 1200
100 100:98:37:38:50:79:97 300 200 96 29.01395 1000 800 1200
100 100:98:37:38:50:79:97 300 200 96 30.92887 1000 800 1200
100 100:98:37:38:50:79:97 300 200 96 32.97018 1000 800 1200
100 100:98:37:38:50:79:97 300 200 96 35.14621 1000 800 1200
100 100:98:37:38:50:79:97 300 200 96 37.46586 1000 800 1200
100 100:98:37:38:50:79:97 300 200 96 39.93861 1000 800 1200
100 100:98:37:38:50:79:97 300 200 96 42.57455 1000 800 1200
100 100:98:37:38:50:79:97 300 200 96 45.38448 1000 800 1200
100 100:98:37:38:50:79:97 300 200 96 48.37985 1000 800 1200
100 100:98:37:38:50:79:97 300 200 96 51.57292 1000 800 1200
100 100:98:37:38:50:79:97 300 200 96 54.97673 1000 800 1200
100 100:98:37:38:50:79:97 300 200 96 58.6052 1011 808 1214
100 100:98:37:38:50:79:97 300 200 96 62.47271 1021 816 1226
100 100:98:37:38:50:79:97 300 200 96 66.59504 1032 825 1239
100 100:98:37:38:50:79:97 300 200 96 70.98889 1032 825 1239
100 100:98:37:38:50:79:97 300 200 96 75.67264 1116 892 1340
100 100:98:37:38:50:79:97 300 200 96 80.66118 1280 1024 1536
100 100:98:37:38:50:79:97 300 200 96 85.96976 1433 1146 1720
100 100:98:37:38:50:79:97 300 200 96 91.61895 1655 1324 1986
100 100:98:37:38:50:79:97 300 200 96 97.62579 2233 1786 2680
100 100:98:37:38:50:79:97 300 200 96 103.98885 2909 2327 3491
100 100:98:37:38:50:79:97 300 200 96 110.71977 4571 3656 5486
100 100:98:37:38:50:79:97 300 200 96 117.76369 13714 10970 16458
100 100:98:37:38:50:79:97 300 200 96 124.53793 24000 19199 28801
100 100:98:37:38:50:79:97 300 200 96 130.84785 96000 76796 115204
100 100:98:37:38:50:79:97 300 200 384 130.84785 54857 49370 60344
100 100:98:37:38:50:79:97 300 200 384 132.8168 96000 86398 105602
100 100:98:37:38:50:79:97 300 200 1537 132.8168 118231 112320 124142
100 100:98:37:38:50:79:97 300 200 1537 132.41324 85389 81120 89658
100 100:98:37:38:50:79:97 300 200 1537 132.73569 109786 104297 115275
100 100:98:37:38:50:79:97 300 200 1537 132.51919 90412 85892 94932
100 100:98:37:38:50:79:97 300 200 1537 132.73096 139727 132741 146713
100 100:98:37:38:50:79:97 300 200 1537 131.85213 54893 52148 57638
100 100:98:37:38:50:79:97 300 200 1537 132.84337 76850 73008 80692
100 100:98:37:38:50:79:97 300 200 1537 133.35592 128083 121679 134487
100 100:98:37:38:50:79:97 300 200 1537 132.73175 56926 54080 59772
100 100:98:37:38:50:79:97 300 200 1537 133.68463 153700 146016 161384
100 100:98:37:38:50:79:97 300 200 1537 132.48815 80895 76850 84940
100 100:98:37:38:50:79:97 300 200 1537 132.91002 118231 112320 124142
100 100:98:37:38:50:79:97 300 200 1537 132.50617 51233 48671 53795
100 100:98:37:38:50:79:97 300 200 1537 133.58316 96062 91259 100865
100 100:98:37:38:50:79:97 300 200 6146 133.58316 85361 83226 87496
100 100:98:37:38:50:79:97 300 200 6146 133.74612 94554 92190 96918
100 100:98:37:38:50:79:97 300 200 6146 133.80682 122920 119846 125994
100 100:98:37:38:50:79:97 300 200 6146 133.55125 100754 98235 103273
