data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 100:99:98:97:96:43:48:56:63:66 300 200 96 21 1000 800 1200
100 100:99:98:97:96:43:48:56:63:66 300 200 96 22.386 1000 800 1200
100 100:99:98:97:96:43:48:56:63:66 300 200 96 23.86348 1000 800 1200
100 100:99:98:97:96:43:48:56:63:66 300 200 96 25.43847 1000 800 1200
100 100:99:98:97:96:43:48:56:63:66 300 200 96 27.1174 1000 800 1200
100 100:99:98:97:96:43:48:56:63:66 300 200 96 28.90715 1000 800 1200
100 100:99:98:97:96:43:48:56:63:66 300 200 96 30.81502 1000 800 1200
100 100:99:98:97:96:43:48:56:63:66 300 200 96 32.84882 1000 800 1200
100 100:99:98:97:96:43:48:56:63:66 300 200 96 35.01684 1000 800 1200
100 100:99:98:97:96:43:48:56:63:66 300 200 96 37.32795 1000 800 1200
100 100:99:98:97:96:43:48:56:63:66 300 200 96 39.79159 1000 800 1200
100 100:99:98:97:96:43:48:56:63:66 300 200 96 42.41784 1000 800 1200
100 100:99:98:97:96:43:48:56:63:66 300 200 96 45.21742 1000 800 1200
100 100:99:98:97:96:43:48:56:63:66 300 200 96 48.20177 1000 800 1200
100 100:99:98:97:96:43:48:56:63:66 300 200 96 51.38308 1000 800 1200
100 100:99:98:97:96:43:48:56:63:66 300 200 96 54.77437 1000 800 1200
100 100:99:98:97:96:43:48:56:63:66 300 200 96 58.38947 1000 800 1200
100 100:99:98:97:96:43:48:56:63:66 300 200 96 62.24318 1000 800 1200
100 100:99:98:97:96:43:48:56:63:66 300 200 96 66.35123 1000 800 1200
100 100:99:98:97:96:43:48:56:63:66 300 200 96 70.73041 1000 800 1200
100 100:99:98:97:96:43:48:56:63:66 300 200 96 75.39862 1000 800 1200
100 100:99:98:97:96:43:48:56:63:66 300 200 96 80.37493 1000 800 1200
100 100:99:98:97:96:43:48:56:63:66 300 200 96 85.67967 1000 800 1200
100 100:99:98:97:96:43:48:56:63:66 300 200 96 91.33453 1011 808 1214
100 100:99:98:97:96:43:48:56:63:66 300 200 96 97.36194 1011 808 1214
100 100:99:98:97:96:43:48:56:63:66 300 200 96 103.78711 1011 808 1214
100 100:99:98:97:96:43:48:56:63:66 300 200 96 110.6363 1067 853 1281
100 100:99:98:97:96:43:48:56:63:66 300 200 96 117.93336 1215 972 1458
100 100:99:98:97:96:43:48:56:63:66 300 200 96 125.70005 1391 1112 1670
100 100:99:98:97:96:43:48:56:63:66 300 200 96 133.96349 1433 1146 1720
100 100:99:98:97:96:43:48:56:63:66 300 200 96 142.76641 2595 2076 3114
100 100:99:98:97:96:43:48:56:63:66 300 200 96 152.03719 4174 3339 5009
100 100:99:98:97:96:43:48:56:63:66 300 200 96 161.74993 5333 4266 6400
100 100:99:98:97:96:43:48:56:63:66 300 200 96 171.95818 19200 15359 23041
100 100:99:98:97:96:43:48:56:63:66 300 200 96 181.221 24000 19199 28801
100 100:99:98:97:96:43:48:56:63:66 300 200 96 190.40286 32000 25598 38402
100 100:99:98:97:96:43:48:56:63:66 300 200 96 199.03446 96000 76796 115204
100 100:99:98:97:96:43:48:56:63:66 300 200 384 199.03446 384000 345592 422408
100 100:99:98:97:96:43:48:56:63:66 300 200 384 180.19253 128000 115197 140803
100 100:99:98:97:96:43:48:56:63:66 300 200 384 178.51073 32000 28799 35201
100 100:99:98:97:96:43:48:56:63:66 300 200 384 182.55698 96000 86398 105602
100 100:99:98:97:96:43:48:56:63:66 300 200 1537 182.55698 56926 54080 59772
100 100:99:98:97:96:43:48:56:63:66 300 200 1537 183.86755 85389 81120 89658
100 100:99:98:97:96:43:48:56:63:66 300 200 1537 184.3153 61480 58406 64554
100 100:99:98:97:96:43:48:56:63:66 300 200 1537 185.49861 102467 97344 107590
100 100:99:98:97:96:43:48:56:63:66 300 200 6146 185.49861 79818 77822 81814
100 100:99:98:97:96:43:48:56:63:66 300 200 6146 185.81058 78795 76825 80765
100 100:99:98:97:96:43:48:56:63:66 300 200 6146 186.13893 90382 88122 92642
100 100:99:98:97:96:43:48:56:63:66 300 200 6146 186.28812 81947 79898 83996
100 100:99:98:97:96:43:48:56:63:66 300 200 6146 186.56837 115962 113062 118862
